SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42020,1610612751,BKN,Brooklyn Nets,0042000217,2021-06-19,BKN vs. MIL,L,265,111,39,84,0.464,12,39,0.308,21,25,0.84,11,35,46,23,4,3,13,20,-4.0
42020,1610612751,BKN,Brooklyn Nets,0042000216,2021-06-17,BKN @ MIL,L,242,89,36,81,0.444,9,30,0.3,8,14,0.571,9,30,39,14,11,1,16,18,-15.0
42020,1610612751,BKN,Brooklyn Nets,0042000215,2021-06-15,BKN vs. MIL,W,241,114,38,77,0.494,16,43,0.372,22,25,0.88,2,34,36,27,4,4,9,19,6.0
42020,1610612751,BKN,Brooklyn Nets,0042000214,2021-06-13,BKN @ MIL,L,239,96,36,83,0.434,10,33,0.303,14,18,0.778,3,40,43,20,7,3,17,20,-11.0
42020,1610612751,BKN,Brooklyn Nets,0042000213,2021-06-10,BKN @ MIL,L,240,83,34,94,0.362,8,32,0.25,7,8,0.875,7,43,50,15,8,5,7,22,-3.0
42020,1610612751,BKN,Brooklyn Nets,0042000212,2021-06-07,BKN vs. MIL,W,241,125,49,94,0.521,21,42,0.5,6,7,0.857,9,33,42,27,8,3,8,17,39.0
42020,1610612751,BKN,Brooklyn Nets,0042000211,2021-06-05,BKN vs. MIL,W,237,115,46,98,0.469,15,39,0.385,8,9,0.889,6,41,47,25,7,6,8,21,8.0
42020,1610612751,BKN,Brooklyn Nets,0042000115,2021-06-01,BKN vs. BOS,W,239,123,43,84,0.512,15,32,0.469,22,25,0.88,7,32,39,26,6,7,8,21,14.0
42020,1610612751,BKN,Brooklyn Nets,0042000114,2021-05-30,BKN @ BOS,W,240,141,48,83,0.578,16,27,0.593,29,30,0.967,9,27,36,29,8,9,9,28,15.0
42020,1610612751,BKN,Brooklyn Nets,0042000113,2021-05-28,BKN @ BOS,L,240,119,38,84,0.452,16,38,0.421,27,31,0.871,10,27,37,16,8,3,9,23,-6.0
42020,1610612751,BKN,Brooklyn Nets,0042000112,2021-05-25,BKN vs. BOS,W,238,130,46,88,0.523,17,38,0.447,21,22,0.955,12,34,46,31,7,7,14,23,22.0
42020,1610612751,BKN,Brooklyn Nets,0042000111,2021-05-22,BKN vs. BOS,W,239,104,35,84,0.417,8,34,0.235,26,29,0.897,14,36,50,18,7,7,11,22,11.0
22020,1610612751,BKN,Brooklyn Nets,0022001067,2021-05-16,BKN vs. CLE,W,240,123,47,83,0.566,16,30,0.533,13,17,0.765,4,33,37,35,9,9,12,20,14.0
22020,1610612751,BKN,Brooklyn Nets,0022001060,2021-05-15,BKN vs. CHI,W,241,105,41,87,0.471,14,34,0.412,9,15,0.6,8,44,52,26,6,8,9,16,14.0
22020,1610612751,BKN,Brooklyn Nets,0022001043,2021-05-12,BKN vs. SAS,W,240,128,48,79,0.608,12,28,0.429,20,27,0.741,3,40,43,33,3,9,11,19,12.0
22020,1610612751,BKN,Brooklyn Nets,0022001036,2021-05-11,BKN @ CHI,W,240,115,42,89,0.472,12,33,0.364,19,25,0.76,13,38,51,32,4,8,7,19,8.0
22020,1610612751,BKN,Brooklyn Nets,0022001015,2021-05-08,BKN @ DEN,W,240,125,41,66,0.621,16,31,0.516,27,33,0.818,2,33,35,27,10,5,17,24,6.0
22020,1610612751,BKN,Brooklyn Nets,0022000998,2021-05-06,BKN @ DAL,L,241,109,41,95,0.432,13,37,0.351,14,15,0.933,10,41,51,18,8,4,13,18,-4.0
22020,1610612751,BKN,Brooklyn Nets,0022000985,2021-05-04,BKN @ MIL,L,240,118,41,84,0.488,20,43,0.465,16,26,0.615,6,33,39,21,6,6,13,25,-6.0
22020,1610612751,BKN,Brooklyn Nets,0022000967,2021-05-02,BKN @ MIL,L,241,114,41,96,0.427,17,42,0.405,15,17,0.882,14,39,53,18,5,1,16,11,-3.0
22020,1610612751,BKN,Brooklyn Nets,0022000952,2021-04-30,BKN vs. POR,L,239,109,40,95,0.421,13,41,0.317,16,19,0.842,11,31,42,20,6,3,8,18,-19.0
22020,1610612751,BKN,Brooklyn Nets,0022000944,2021-04-29,BKN @ IND,W,239,130,47,89,0.528,12,35,0.343,24,28,0.857,8,42,50,35,3,5,13,19,17.0
22020,1610612751,BKN,Brooklyn Nets,0022000930,2021-04-27,BKN @ TOR,W,240,116,40,83,0.482,18,45,0.4,18,18,1.0,7,34,41,30,9,6,10,20,13.0
22020,1610612751,BKN,Brooklyn Nets,0022000912,2021-04-25,BKN vs. PHX,W,240,128,46,87,0.529,13,28,0.464,23,27,0.852,11,33,44,30,6,4,10,17,9.0
22020,1610612751,BKN,Brooklyn Nets,0022000899,2021-04-23,BKN vs. BOS,W,239,109,37,86,0.43,11,32,0.344,24,28,0.857,6,41,47,26,12,7,11,19,5.0
22020,1610612751,BKN,Brooklyn Nets,0022000884,2021-04-21,BKN @ TOR,L,239,103,36,91,0.396,13,41,0.317,18,23,0.783,12,38,50,19,3,6,13,17,-11.0
22020,1610612751,BKN,Brooklyn Nets,0022000878,2021-04-20,BKN @ NOP,W,240,134,49,89,0.551,14,37,0.378,22,28,0.786,10,34,44,30,7,2,13,21,5.0
22020,1610612751,BKN,Brooklyn Nets,0022000863,2021-04-18,BKN @ MIA,L,241,107,39,82,0.476,17,43,0.395,12,18,0.667,8,30,38,26,10,6,11,17,-2.0
22020,1610612751,BKN,Brooklyn Nets,0022000848,2021-04-16,BKN vs. CHA,W,238,130,47,85,0.553,21,41,0.512,15,16,0.938,7,30,37,35,12,5,18,17,15.0
22020,1610612751,BKN,Brooklyn Nets,0022000830,2021-04-14,BKN @ PHI,L,239,117,43,83,0.518,4,21,0.19,27,30,0.9,11,32,43,23,6,3,15,21,-6.0
22020,1610612751,BKN,Brooklyn Nets,0022000817,2021-04-13,BKN @ MIN,W,240,127,46,91,0.505,15,36,0.417,20,24,0.833,11,46,57,31,8,4,18,22,30.0
22020,1610612751,BKN,Brooklyn Nets,0022000800,2021-04-10,BKN vs. LAL,L,240,101,35,80,0.438,5,27,0.185,26,30,0.867,9,33,42,19,6,10,19,20,-25.0
22020,1610612751,BKN,Brooklyn Nets,0022000779,2021-04-07,BKN vs. NOP,W,241,139,51,92,0.554,19,41,0.463,18,22,0.818,10,35,45,37,10,8,17,31,28.0
22020,1610612751,BKN,Brooklyn Nets,0022000762,2021-04-05,BKN vs. NYK,W,239,114,42,92,0.457,10,32,0.313,20,26,0.769,11,34,45,27,6,6,10,14,2.0
22020,1610612751,BKN,Brooklyn Nets,0022000755,2021-04-04,BKN @ CHI,L,240,107,45,93,0.484,11,28,0.393,6,7,0.857,4,31,35,28,3,3,5,17,-8.0
22020,1610612751,BKN,Brooklyn Nets,0022000732,2021-04-01,BKN vs. CHA,W,241,111,44,91,0.484,20,45,0.444,3,4,0.75,13,43,56,34,8,5,15,18,22.0
22020,1610612751,BKN,Brooklyn Nets,0022000724,2021-03-31,BKN vs. HOU,W,241,120,44,90,0.489,13,36,0.361,19,19,1.0,12,33,45,25,6,3,11,21,12.0
22020,1610612751,BKN,Brooklyn Nets,0022000709,2021-03-29,BKN vs. MIN,W,241,112,40,85,0.471,10,30,0.333,22,25,0.88,7,43,50,31,10,7,14,18,5.0
22020,1610612751,BKN,Brooklyn Nets,0022000683,2021-03-26,BKN @ DET,W,240,113,37,84,0.44,13,33,0.394,26,34,0.765,16,33,49,19,3,4,10,27,2.0
22020,1610612751,BKN,Brooklyn Nets,0022000676,2021-03-24,BKN @ UTA,L,238,88,35,97,0.361,7,35,0.2,11,15,0.733,13,35,48,19,9,1,9,10,-30.0
22020,1610612751,BKN,Brooklyn Nets,0022000666,2021-03-23,BKN @ POR,W,240,116,43,87,0.494,9,30,0.3,21,27,0.778,10,37,47,25,5,2,8,17,4.0
22020,1610612751,BKN,Brooklyn Nets,0022000647,2021-03-21,BKN vs. WAS,W,240,113,44,90,0.489,9,29,0.31,16,22,0.727,10,25,35,24,11,8,7,18,7.0
22020,1610612751,BKN,Brooklyn Nets,0022000633,2021-03-19,BKN @ ORL,L,240,113,43,91,0.473,10,37,0.27,17,23,0.739,9,30,39,24,9,3,8,16,-8.0
22020,1610612751,BKN,Brooklyn Nets,0022000617,2021-03-17,BKN @ IND,W,239,124,42,87,0.483,9,27,0.333,31,40,0.775,15,35,50,22,10,2,16,20,9.0
