SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42020,1610612738,BOS,Boston Celtics,0042000115,2021-06-01,BOS @ BKN,L,240,109,40,92,0.435,11,40,0.275,18,23,0.783,13,31,44,18,3,12,11,21,-14.0
42020,1610612738,BOS,Boston Celtics,0042000114,2021-05-30,BOS vs. BKN,L,241,126,37,84,0.44,14,40,0.35,38,42,0.905,11,23,34,24,8,4,10,21,-15.0
42020,1610612738,BOS,Boston Celtics,0042000113,2021-05-28,BOS vs. BKN,W,240,125,45,89,0.506,16,39,0.41,19,23,0.826,13,33,46,21,5,3,13,25,6.0
42020,1610612738,BOS,Boston Celtics,0042000112,2021-05-25,BOS @ BKN,L,239,108,39,92,0.424,12,34,0.353,18,23,0.783,15,28,43,23,10,4,15,20,-22.0
42020,1610612738,BOS,Boston Celtics,0042000111,2021-05-22,BOS @ BKN,L,243,93,31,84,0.369,11,30,0.367,20,26,0.769,11,29,40,19,6,12,12,18,-11.0
52020,1610612738,BOS,Boston Celtics,0052000101,2021-05-18,BOS vs. WAS,W,241,118,38,96,0.396,15,45,0.333,27,32,0.844,14,35,49,20,8,5,10,17,18.0
22020,1610612738,BOS,Boston Celtics,0022001073,2021-05-16,BOS @ NYK,L,240,92,35,86,0.407,11,41,0.268,11,15,0.733,9,37,46,19,4,6,12,19,-4.0
22020,1610612738,BOS,Boston Celtics,0022001063,2021-05-15,BOS @ MIN,W,240,124,46,95,0.484,18,42,0.429,14,18,0.778,9,35,44,27,8,6,14,24,16.0
22020,1610612738,BOS,Boston Celtics,0022001044,2021-05-12,BOS @ CLE,L,240,94,36,101,0.356,12,41,0.293,10,14,0.714,13,33,46,14,9,8,7,23,-8.0
22020,1610612738,BOS,Boston Celtics,0022001032,2021-05-11,BOS vs. MIA,L,238,121,46,88,0.523,18,37,0.486,11,17,0.647,3,29,32,31,8,5,11,21,-8.0
22020,1610612738,BOS,Boston Celtics,0022000145,2021-05-09,BOS vs. MIA,L,238,124,45,83,0.542,14,38,0.368,20,25,0.8,6,28,34,29,7,3,14,22,-6.0
22020,1610612738,BOS,Boston Celtics,0022000160,2021-05-07,BOS @ CHI,L,239,99,35,86,0.407,11,39,0.282,18,23,0.783,11,36,47,19,5,8,13,15,-22.0
22020,1610612738,BOS,Boston Celtics,0022000990,2021-05-05,BOS @ ORL,W,238,132,51,96,0.531,21,45,0.467,9,12,0.75,9,36,45,28,8,9,11,23,36.0
22020,1610612738,BOS,Boston Celtics,0022000968,2021-05-02,BOS vs. POR,L,242,119,43,89,0.483,20,39,0.513,13,15,0.867,10,35,45,29,3,6,18,21,-10.0
22020,1610612738,BOS,Boston Celtics,0022000950,2021-04-30,BOS vs. SAS,W,265,143,49,105,0.467,18,38,0.474,27,36,0.75,17,35,52,31,7,7,13,26,3.0
22020,1610612738,BOS,Boston Celtics,0022000936,2021-04-28,BOS vs. CHA,W,242,120,44,92,0.478,15,40,0.375,17,22,0.773,19,35,54,26,9,8,14,24,9.0
22020,1610612738,BOS,Boston Celtics,0022000927,2021-04-27,BOS vs. OKC,L,240,115,41,97,0.423,11,49,0.224,22,25,0.88,8,31,39,21,16,7,14,26,-4.0
22020,1610612738,BOS,Boston Celtics,0022000911,2021-04-25,BOS @ CHA,L,239,104,34,88,0.386,14,41,0.341,22,26,0.846,11,30,41,18,6,2,13,13,-21.0
22020,1610612738,BOS,Boston Celtics,0022000899,2021-04-23,BOS @ BKN,L,240,104,38,94,0.404,17,42,0.405,11,16,0.688,15,39,54,21,6,6,19,20,-5.0
22020,1610612738,BOS,Boston Celtics,0022000892,2021-04-22,BOS vs. PHX,W,241,99,33,77,0.429,12,40,0.3,21,24,0.875,10,38,48,20,7,2,20,12,13.0
22020,1610612738,BOS,Boston Celtics,0022000869,2021-04-19,BOS vs. CHI,L,238,96,36,77,0.468,10,25,0.4,14,15,0.933,3,36,39,21,8,3,15,15,-6.0
22020,1610612738,BOS,Boston Celtics,0022000858,2021-04-17,BOS vs. GSW,W,241,119,44,94,0.468,15,46,0.326,16,20,0.8,14,31,45,18,9,2,9,18,5.0
22020,1610612738,BOS,Boston Celtics,0022000842,2021-04-15,BOS @ LAL,W,241,121,48,85,0.565,14,32,0.438,11,13,0.846,7,41,48,33,4,6,21,20,8.0
22020,1610612738,BOS,Boston Celtics,0022000828,2021-04-13,BOS @ POR,W,241,116,42,90,0.467,15,35,0.429,17,24,0.708,9,37,46,30,5,4,9,19,1.0
22020,1610612738,BOS,Boston Celtics,0022000806,2021-04-11,BOS @ DEN,W,243,105,39,87,0.448,7,33,0.212,20,23,0.87,10,42,52,20,4,7,9,18,18.0
22020,1610612738,BOS,Boston Celtics,0022000792,2021-04-09,BOS vs. MIN,W,266,145,47,87,0.54,19,42,0.452,32,34,0.941,9,36,45,32,9,5,20,25,9.0
22020,1610612738,BOS,Boston Celtics,0022000778,2021-04-07,BOS vs. NYK,W,240,101,36,86,0.419,15,40,0.375,14,20,0.7,16,37,53,22,6,7,17,14,2.0
22020,1610612738,BOS,Boston Celtics,0022000771,2021-04-06,BOS vs. PHI,L,240,96,33,70,0.471,14,34,0.412,16,18,0.889,3,29,32,19,5,6,20,22,-10.0
22020,1610612738,BOS,Boston Celtics,0022000757,2021-04-04,BOS vs. CHA,W,239,116,43,94,0.457,21,54,0.389,9,11,0.818,14,30,44,29,11,5,6,20,30.0
22020,1610612738,BOS,Boston Celtics,0022000738,2021-04-02,BOS vs. HOU,W,241,118,46,88,0.523,17,41,0.415,9,12,0.75,11,39,50,35,9,7,13,22,16.0
22020,1610612738,BOS,Boston Celtics,0022000723,2021-03-31,BOS vs. DAL,L,240,108,39,94,0.415,11,47,0.234,19,23,0.826,8,28,36,20,11,2,9,19,-5.0
22020,1610612738,BOS,Boston Celtics,0022000708,2021-03-29,BOS vs. NOP,L,239,109,40,93,0.43,14,43,0.326,15,19,0.789,12,34,46,21,5,9,14,25,-6.0
22020,1610612738,BOS,Boston Celtics,0022000699,2021-03-27,BOS @ OKC,W,239,111,44,96,0.458,12,38,0.316,11,14,0.786,10,42,52,22,10,4,12,19,17.0
22020,1610612738,BOS,Boston Celtics,0022000685,2021-03-26,BOS @ MIL,W,240,122,43,88,0.489,22,47,0.468,14,16,0.875,8,36,44,27,10,8,14,16,8.0
22020,1610612738,BOS,Boston Celtics,0022000669,2021-03-24,BOS @ MIL,L,240,119,45,94,0.479,19,47,0.404,10,10,1.0,9,29,38,24,9,6,12,15,-2.0
22020,1610612738,BOS,Boston Celtics,0022000658,2021-03-22,BOS @ MEM,L,264,126,47,90,0.522,17,35,0.486,15,24,0.625,5,38,43,31,3,6,12,18,-6.0
22020,1610612738,BOS,Boston Celtics,0022000167,2021-03-21,BOS vs. ORL,W,241,112,40,88,0.455,23,55,0.418,9,9,1.0,7,38,45,27,6,3,9,21,16.0
22020,1610612738,BOS,Boston Celtics,0022000631,2021-03-19,BOS vs. SAC,L,239,96,39,91,0.429,12,31,0.387,6,7,0.857,12,33,45,22,8,4,14,20,-11.0
22020,1610612738,BOS,Boston Celtics,0022000620,2021-03-17,BOS @ CLE,L,240,110,40,88,0.455,10,38,0.263,20,29,0.69,15,25,40,19,10,9,12,27,-7.0
22020,1610612738,BOS,Boston Celtics,0022000609,2021-03-16,BOS vs. UTA,L,241,109,48,98,0.49,10,29,0.345,3,4,0.75,16,29,45,28,8,5,13,18,-8.0
22020,1610612738,BOS,Boston Celtics,0022000598,2021-03-14,BOS @ HOU,W,240,134,51,92,0.554,18,37,0.486,14,21,0.667,10,45,55,29,8,3,14,22,27.0
22020,1610612738,BOS,Boston Celtics,0022000569,2021-03-11,BOS @ BKN,L,239,109,41,91,0.451,13,40,0.325,14,22,0.636,11,28,39,22,10,10,11,13,-12.0
22020,1610612738,BOS,Boston Celtics,0022000552,2021-03-04,BOS vs. TOR,W,239,132,45,74,0.608,13,29,0.448,29,40,0.725,9,30,39,25,6,7,16,20,7.0
22020,1610612738,BOS,Boston Celtics,0022000537,2021-03-02,BOS vs. LAC,W,240,117,42,86,0.488,16,32,0.5,17,23,0.739,14,29,43,25,6,4,8,12,5.0
22020,1610612738,BOS,Boston Celtics,0022000524,2021-02-28,BOS vs. WAS,W,242,111,42,89,0.472,10,30,0.333,17,24,0.708,13,36,49,25,7,0,18,25,1.0
22020,1610612738,BOS,Boston Celtics,0022000505,2021-02-26,BOS vs. IND,W,238,118,42,82,0.512,9,22,0.409,25,29,0.862,7,38,45,24,3,6,11,20,6.0
22020,1610612738,BOS,Boston Celtics,0022000490,2021-02-24,BOS @ ATL,L,240,112,42,95,0.442,8,31,0.258,20,23,0.87,12,24,36,20,10,6,6,16,-15.0
22020,1610612738,BOS,Boston Celtics,0022000485,2021-02-23,BOS @ DAL,L,241,107,41,86,0.477,12,39,0.308,13,18,0.722,12,34,46,19,6,6,13,21,-3.0
22020,1610612738,BOS,Boston Celtics,0022000465,2021-02-21,BOS @ NOP,L,266,115,39,98,0.398,10,37,0.27,27,34,0.794,11,38,49,22,9,11,10,30,-5.0
22020,1610612738,BOS,Boston Celtics,0022000451,2021-02-19,BOS vs. ATL,W,239,121,50,90,0.556,14,35,0.4,7,10,0.7,9,35,44,26,8,12,18,21,12.0
22020,1610612738,BOS,Boston Celtics,0022000438,2021-02-17,BOS vs. ATL,L,240,114,40,86,0.465,10,31,0.323,24,27,0.889,11,26,37,22,9,3,16,27,-8.0
22020,1610612738,BOS,Boston Celtics,0022000427,2021-02-16,BOS vs. DEN,W,241,112,39,81,0.481,15,42,0.357,19,21,0.905,10,33,43,26,7,1,20,22,13.0
22020,1610612738,BOS,Boston Celtics,0022000560,2021-02-14,BOS @ WAS,L,239,91,32,90,0.356,9,35,0.257,18,30,0.6,14,36,50,14,5,2,17,27,-13.0
22020,1610612738,BOS,Boston Celtics,0022000412,2021-02-12,BOS vs. DET,L,240,102,36,82,0.439,8,27,0.296,22,30,0.733,7,37,44,15,9,2,10,25,-6.0
22020,1610612738,BOS,Boston Celtics,0022000398,2021-02-11,BOS vs. TOR,W,239,120,39,86,0.453,20,39,0.513,22,28,0.786,14,35,49,30,8,6,18,22,14.0
22020,1610612738,BOS,Boston Celtics,0022000379,2021-02-09,BOS @ UTA,L,241,108,38,86,0.442,13,29,0.448,19,23,0.826,11,24,35,18,2,2,8,25,-14.0
22020,1610612738,BOS,Boston Celtics,0022000365,2021-02-07,BOS @ PHX,L,241,91,33,93,0.355,17,44,0.386,8,12,0.667,13,28,41,19,6,2,5,11,-9.0
22020,1610612738,BOS,Boston Celtics,0022000350,2021-02-05,BOS @ LAC,W,240,119,43,90,0.478,16,38,0.421,17,21,0.81,9,25,34,21,8,1,6,16,4.0
22020,1610612738,BOS,Boston Celtics,0022000336,2021-02-03,BOS @ SAC,L,240,111,39,86,0.453,11,33,0.333,22,29,0.759,11,34,45,28,9,3,13,21,-5.0
22020,1610612738,BOS,Boston Celtics,0022000326,2021-02-02,BOS @ GSW,W,239,111,39,84,0.464,13,34,0.382,20,27,0.741,12,39,51,16,3,4,15,20,4.0
22020,1610612738,BOS,Boston Celtics,0022000302,2021-01-30,BOS vs. LAL,L,239,95,40,82,0.488,6,21,0.286,9,14,0.643,9,33,42,24,10,6,15,16,-1.0
22020,1610612738,BOS,Boston Celtics,0022000280,2021-01-27,BOS @ SAS,L,239,106,42,98,0.429,10,30,0.333,12,14,0.857,13,26,39,15,10,4,10,14,-4.0
22020,1610612738,BOS,Boston Celtics,0022000262,2021-01-25,BOS @ CHI,W,239,119,44,87,0.506,15,29,0.517,16,20,0.8,6,38,44,28,9,6,12,18,16.0
