SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
52020,1610612766,CHA,Charlotte Hornets,0052000111,2021-05-18,CHA @ IND,L,239,117,43,94,0.457,12,40,0.3,19,25,0.76,7,29,36,26,8,6,14,14,-27.0
22020,1610612766,CHA,Charlotte Hornets,0022001080,2021-05-16,CHA @ WAS,L,240,110,37,94,0.394,14,45,0.311,22,24,0.917,10,32,42,25,8,5,11,15,-5.0
22020,1610612766,CHA,Charlotte Hornets,0022001064,2021-05-15,CHA @ NYK,L,265,109,39,102,0.382,13,49,0.265,18,24,0.75,15,36,51,28,5,2,8,18,-9.0
22020,1610612766,CHA,Charlotte Hornets,0022001047,2021-05-13,CHA vs. LAC,L,239,90,33,84,0.393,9,33,0.273,15,19,0.789,8,27,35,24,9,1,10,15,-23.0
22020,1610612766,CHA,Charlotte Hornets,0022000448,2021-05-11,CHA vs. DEN,L,240,112,42,91,0.462,11,39,0.282,17,20,0.85,15,34,49,30,9,5,17,17,-5.0
22020,1610612766,CHA,Charlotte Hornets,0022001020,2021-05-09,CHA vs. NOP,L,240,110,42,95,0.442,13,37,0.351,13,18,0.722,11,35,46,22,6,8,17,19,-2.0
22020,1610612766,CHA,Charlotte Hornets,0022001004,2021-05-07,CHA vs. ORL,W,241,122,44,89,0.494,9,33,0.273,25,33,0.758,11,40,51,28,5,4,11,23,10.0
22020,1610612766,CHA,Charlotte Hornets,0022000434,2021-05-06,CHA vs. CHI,L,238,99,38,90,0.422,16,35,0.457,7,18,0.389,13,32,45,29,11,3,15,16,-21.0
22020,1610612766,CHA,Charlotte Hornets,0022000984,2021-05-04,CHA @ DET,W,241,102,38,93,0.409,8,31,0.258,18,24,0.75,16,35,51,23,8,5,8,23,3.0
22020,1610612766,CHA,Charlotte Hornets,0022000969,2021-05-02,CHA vs. MIA,L,241,111,40,81,0.494,14,33,0.424,17,22,0.773,8,31,39,30,9,1,14,20,-10.0
22020,1610612766,CHA,Charlotte Hornets,0022000957,2021-05-01,CHA vs. DET,W,240,107,42,87,0.483,14,37,0.378,9,20,0.45,14,40,54,24,8,15,13,16,13.0
22020,1610612766,CHA,Charlotte Hornets,0022000936,2021-04-28,CHA @ BOS,L,240,111,37,87,0.425,13,35,0.371,24,32,0.75,11,22,33,29,7,5,11,18,-9.0
22020,1610612766,CHA,Charlotte Hornets,0022000928,2021-04-27,CHA vs. MIL,L,241,104,38,82,0.463,12,35,0.343,16,23,0.696,7,31,38,26,6,7,17,17,-10.0
22020,1610612766,CHA,Charlotte Hornets,0022000911,2021-04-25,CHA vs. BOS,W,242,125,47,93,0.505,21,43,0.488,10,11,0.909,10,36,46,39,7,8,11,21,21.0
22020,1610612766,CHA,Charlotte Hornets,0022000900,2021-04-23,CHA vs. CLE,W,240,108,40,94,0.426,14,40,0.35,14,18,0.778,15,23,38,26,7,1,5,16,6.0
22020,1610612766,CHA,Charlotte Hornets,0022000896,2021-04-22,CHA @ CHI,L,238,91,35,82,0.427,8,31,0.258,13,17,0.765,7,31,38,30,5,3,14,18,-17.0
22020,1610612766,CHA,Charlotte Hornets,0022000877,2021-04-20,CHA @ NYK,L,239,97,39,86,0.453,16,39,0.41,3,8,0.375,11,28,39,26,6,3,12,10,-12.0
22020,1610612766,CHA,Charlotte Hornets,0022000362,2021-04-18,CHA vs. POR,W,239,109,39,83,0.47,18,43,0.419,13,17,0.765,7,39,46,26,6,8,14,25,8.0
22020,1610612766,CHA,Charlotte Hornets,0022000848,2021-04-16,CHA @ BKN,L,239,115,44,83,0.53,12,34,0.353,15,20,0.75,8,29,37,26,12,3,19,18,-15.0
22020,1610612766,CHA,Charlotte Hornets,0022000829,2021-04-14,CHA vs. CLE,L,239,90,34,84,0.405,16,44,0.364,6,12,0.5,10,28,38,23,8,5,12,18,-13.0
22020,1610612766,CHA,Charlotte Hornets,0022000825,2021-04-13,CHA vs. LAL,L,240,93,36,83,0.434,9,35,0.257,12,18,0.667,12,33,45,22,5,3,16,18,-8.0
22020,1610612766,CHA,Charlotte Hornets,0022000805,2021-04-11,CHA vs. ATL,L,242,101,37,80,0.463,15,43,0.349,12,14,0.857,6,32,38,28,5,5,12,14,-4.0
22020,1610612766,CHA,Charlotte Hornets,0022000796,2021-04-09,CHA @ MIL,W,240,127,44,91,0.484,19,50,0.38,20,22,0.909,13,36,49,35,4,10,18,19,8.0
22020,1610612766,CHA,Charlotte Hornets,0022000781,2021-04-07,CHA @ OKC,W,240,113,43,97,0.443,15,44,0.341,12,13,0.923,11,31,42,27,12,5,11,16,11.0
22020,1610612766,CHA,Charlotte Hornets,0022000757,2021-04-04,CHA @ BOS,L,239,86,32,80,0.4,10,31,0.323,12,20,0.6,9,33,42,23,3,5,17,15,-30.0
22020,1610612766,CHA,Charlotte Hornets,0022000740,2021-04-02,CHA @ IND,W,241,114,43,95,0.453,8,31,0.258,20,29,0.69,11,33,44,27,16,3,10,16,17.0
22020,1610612766,CHA,Charlotte Hornets,0022000732,2021-04-01,CHA @ BKN,L,242,89,30,86,0.349,13,38,0.342,16,19,0.842,11,32,43,22,11,5,11,9,-22.0
22020,1610612766,CHA,Charlotte Hornets,0022000718,2021-03-30,CHA @ WAS,W,240,114,42,90,0.467,14,34,0.412,16,19,0.842,9,41,50,24,6,6,14,17,10.0
22020,1610612766,CHA,Charlotte Hornets,0022000703,2021-03-28,CHA vs. PHX,L,264,97,34,85,0.4,13,43,0.302,16,23,0.696,16,36,52,16,8,3,20,23,-4.0
22020,1610612766,CHA,Charlotte Hornets,0022000686,2021-03-26,CHA vs. MIA,W,241,110,39,79,0.494,18,43,0.419,14,19,0.737,6,36,42,30,6,7,16,16,5.0
22020,1610612766,CHA,Charlotte Hornets,0022000672,2021-03-24,CHA @ HOU,W,241,122,41,80,0.513,18,38,0.474,22,29,0.759,10,40,50,27,4,3,13,20,25.0
22020,1610612766,CHA,Charlotte Hornets,0022000655,2021-03-22,CHA @ SAS,W,241,100,34,81,0.42,12,32,0.375,20,23,0.87,7,33,40,27,5,7,11,14,3.0
22020,1610612766,CHA,Charlotte Hornets,0022000644,2021-03-20,CHA @ LAC,L,240,98,31,80,0.388,15,41,0.366,21,28,0.75,13,26,39,25,5,4,14,20,-27.0
22020,1610612766,CHA,Charlotte Hornets,0022000630,2021-03-18,CHA @ LAL,L,240,105,41,83,0.494,11,29,0.379,12,20,0.6,8,36,44,26,7,8,19,19,-11.0
22020,1610612766,CHA,Charlotte Hornets,0022000624,2021-03-17,CHA @ DEN,L,238,104,36,80,0.45,12,38,0.316,20,28,0.714,7,26,33,25,11,1,17,16,-25.0
22020,1610612766,CHA,Charlotte Hornets,0022000602,2021-03-15,CHA vs. SAC,W,240,122,45,94,0.479,12,30,0.4,20,25,0.8,10,36,46,30,7,3,8,15,6.0
22020,1610612766,CHA,Charlotte Hornets,0022000588,2021-03-13,CHA vs. TOR,W,240,114,39,81,0.481,21,49,0.429,15,19,0.789,8,43,51,30,10,6,27,22,10.0
22020,1610612766,CHA,Charlotte Hornets,0022000568,2021-03-11,CHA vs. DET,W,238,105,36,90,0.4,10,30,0.333,23,24,0.958,12,33,45,26,9,3,9,14,3.0
22020,1610612766,CHA,Charlotte Hornets,0022000547,2021-03-03,CHA @ MIN,W,240,135,51,98,0.52,17,39,0.436,16,21,0.762,13,41,54,33,14,7,17,18,33.0
22020,1610612766,CHA,Charlotte Hornets,0022000535,2021-03-01,CHA @ POR,L,240,111,43,88,0.489,15,34,0.441,10,17,0.588,11,26,37,25,12,5,16,16,-12.0
22020,1610612766,CHA,Charlotte Hornets,0022000528,2021-02-28,CHA @ SAC,W,241,127,45,83,0.542,11,30,0.367,26,27,0.963,7,30,37,30,3,6,16,20,1.0
22020,1610612766,CHA,Charlotte Hornets,0022000511,2021-02-26,CHA @ GSW,L,241,121,41,89,0.461,17,41,0.415,22,32,0.688,13,25,38,27,11,1,20,23,-9.0
22020,1610612766,CHA,Charlotte Hornets,0022000496,2021-02-24,CHA @ PHX,W,239,124,43,88,0.489,13,36,0.361,25,27,0.926,9,37,46,24,8,5,13,21,3.0
22020,1610612766,CHA,Charlotte Hornets,0022000478,2021-02-22,CHA @ UTA,L,242,110,41,89,0.461,11,36,0.306,17,21,0.81,8,27,35,18,13,2,16,17,-22.0
22020,1610612766,CHA,Charlotte Hornets,0022000459,2021-02-20,CHA vs. GSW,W,241,102,37,75,0.493,20,40,0.5,8,9,0.889,4,40,44,23,7,2,24,22,2.0
22020,1610612766,CHA,Charlotte Hornets,0022000414,2021-02-14,CHA vs. SAS,L,239,110,45,95,0.474,12,34,0.353,8,11,0.727,12,37,49,23,6,6,16,20,-12.0
22020,1610612766,CHA,Charlotte Hornets,0022000395,2021-02-12,CHA vs. MIN,W,241,120,44,90,0.489,13,36,0.361,19,19,1.0,12,43,55,20,4,3,20,17,6.0
22020,1610612766,CHA,Charlotte Hornets,0022000386,2021-02-10,CHA @ MEM,L,240,114,45,82,0.549,14,29,0.483,10,12,0.833,8,27,35,23,11,4,18,14,-16.0
