SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22019,1610612765,DET,Detroit Pistons,0021900971,2020-03-11,DET @ PHI,L,241,106,39,84,0.464,11,35,0.314,17,25,0.68,6,26,32,25,10,3,8,24,-18.0
22019,1610612765,DET,Detroit Pistons,0021900955,2020-03-08,DET @ NYK,L,241,84,29,80,0.363,11,38,0.289,15,22,0.682,5,30,35,21,8,2,11,19,-12.0
22019,1610612765,DET,Detroit Pistons,0021900941,2020-03-07,DET vs. UTA,L,240,105,40,86,0.465,9,30,0.3,16,22,0.727,10,28,38,24,4,2,11,23,-6.0
22019,1610612765,DET,Detroit Pistons,0021900918,2020-03-04,DET vs. OKC,L,241,107,40,86,0.465,18,43,0.419,9,15,0.6,9,27,36,27,8,5,17,21,-7.0
22019,1610612765,DET,Detroit Pistons,0021900899,2020-03-01,DET @ SAC,L,238,100,33,80,0.413,18,42,0.429,16,24,0.667,7,35,42,23,6,4,14,25,-6.0
22019,1610612765,DET,Detroit Pistons,0021900884,2020-02-28,DET @ PHX,W,240,113,44,90,0.489,13,32,0.406,12,16,0.75,10,21,31,27,14,3,10,19,2.0
22019,1610612765,DET,Detroit Pistons,0021900860,2020-02-25,DET @ DEN,L,240,98,33,81,0.407,15,41,0.366,17,21,0.81,12,21,33,24,8,2,16,26,-17.0
22019,1610612765,DET,Detroit Pistons,0021900848,2020-02-23,DET @ POR,L,239,104,37,86,0.43,11,35,0.314,19,20,0.95,11,33,44,18,7,5,11,17,-3.0
22019,1610612765,DET,Detroit Pistons,0021900820,2020-02-20,DET vs. MIL,L,240,106,40,83,0.482,13,37,0.351,13,16,0.813,7,39,46,25,3,5,21,23,-20.0
22019,1610612765,DET,Detroit Pistons,0021900808,2020-02-12,DET @ ORL,L,266,112,40,92,0.435,18,45,0.4,14,15,0.933,9,38,47,28,5,7,20,20,-4.0
22019,1610612765,DET,Detroit Pistons,0021900793,2020-02-10,DET vs. CHA,L,241,76,29,82,0.354,7,35,0.2,11,13,0.846,19,33,52,21,4,5,21,18,-11.0
22019,1610612765,DET,Detroit Pistons,0021900779,2020-02-08,DET vs. NYK,L,240,92,34,69,0.493,13,29,0.448,11,16,0.688,3,25,28,21,5,7,16,19,-3.0
22019,1610612765,DET,Detroit Pistons,0021900773,2020-02-07,DET @ OKC,L,241,101,38,89,0.427,11,38,0.289,14,19,0.737,14,23,37,19,7,1,9,23,-7.0
22019,1610612765,DET,Detroit Pistons,0021900755,2020-02-05,DET vs. PHX,W,240,116,46,95,0.484,12,28,0.429,12,16,0.75,14,28,42,31,9,2,6,15,8.0
22019,1610612765,DET,Detroit Pistons,0021900748,2020-02-03,DET @ MEM,L,239,82,34,98,0.347,8,26,0.308,6,9,0.667,16,35,51,21,6,2,14,13,-14.0
22019,1610612765,DET,Detroit Pistons,0021900737,2020-02-02,DET vs. DEN,W,264,128,48,94,0.511,14,31,0.452,18,24,0.75,11,32,43,33,4,2,11,22,5.0
22019,1610612765,DET,Detroit Pistons,0021900720,2020-01-31,DET vs. TOR,L,240,92,28,79,0.354,11,36,0.306,25,34,0.735,13,32,45,18,5,6,15,12,-13.0
22019,1610612765,DET,Detroit Pistons,0021900709,2020-01-29,DET @ BKN,L,240,115,42,83,0.506,10,26,0.385,21,28,0.75,9,32,41,25,6,5,16,20,-10.0
22019,1610612765,DET,Detroit Pistons,0021900693,2020-01-27,DET vs. CLE,L,239,100,38,84,0.452,12,35,0.343,12,17,0.706,9,28,37,18,8,7,17,20,-15.0
22019,1610612765,DET,Detroit Pistons,0021900681,2020-01-25,DET vs. BKN,L,265,111,43,104,0.413,13,35,0.371,12,18,0.667,14,38,52,20,5,3,8,25,-10.0
22019,1610612765,DET,Detroit Pistons,0021900670,2020-01-24,DET vs. MEM,L,240,112,39,91,0.429,11,32,0.344,23,31,0.742,10,27,37,23,8,1,7,23,-13.0
22019,1610612765,DET,Detroit Pistons,0021900654,2020-01-22,DET vs. SAC,W,240,127,39,73,0.534,12,29,0.414,37,44,0.841,3,45,48,19,9,4,17,19,21.0
22019,1610612765,DET,Detroit Pistons,0021900639,2020-01-20,DET @ WAS,L,239,100,38,89,0.427,10,32,0.313,14,20,0.7,11,30,41,19,10,5,17,18,-6.0
22019,1610612765,DET,Detroit Pistons,0021900629,2020-01-18,DET @ ATL,W,240,136,51,86,0.593,15,32,0.469,19,25,0.76,11,30,41,31,12,8,17,18,33.0
22019,1610612765,DET,Detroit Pistons,0021900604,2020-01-15,DET @ BOS,W,242,116,47,78,0.603,12,32,0.375,10,19,0.526,3,31,34,30,8,4,11,19,13.0
22019,1610612765,DET,Detroit Pistons,0021900591,2020-01-13,DET vs. NOP,L,265,110,40,99,0.404,11,32,0.344,19,24,0.792,5,38,43,27,11,8,9,25,-7.0
22019,1610612765,DET,Detroit Pistons,0021900579,2020-01-11,DET vs. CHI,L,241,99,36,78,0.462,9,28,0.321,18,27,0.667,12,30,42,22,7,4,19,20,-9.0
22019,1610612765,DET,Detroit Pistons,0021900563,2020-01-09,DET vs. CLE,L,265,112,48,98,0.49,6,20,0.3,10,16,0.625,19,27,46,20,8,9,15,25,-3.0
22019,1610612765,DET,Detroit Pistons,0021900548,2020-01-07,DET @ CLE,W,240,115,42,91,0.462,13,33,0.394,18,21,0.857,10,30,40,26,8,3,9,15,2.0
22019,1610612765,DET,Detroit Pistons,0021900538,2020-01-05,DET @ LAL,L,241,99,29,78,0.372,11,26,0.423,30,35,0.857,6,37,43,21,8,6,16,22,-7.0
22019,1610612765,DET,Detroit Pistons,0021900532,2020-01-04,DET @ GSW,W,239,111,43,83,0.518,11,27,0.407,14,16,0.875,9,37,46,24,13,5,21,25,7.0
22019,1610612765,DET,Detroit Pistons,0021900516,2020-01-02,DET @ LAC,L,241,112,40,94,0.426,7,33,0.212,25,35,0.714,12,33,45,20,10,1,11,23,-14.0
22019,1610612765,DET,Detroit Pistons,0021900495,2019-12-30,DET @ UTA,L,239,81,30,79,0.38,4,14,0.286,17,23,0.739,10,33,43,14,10,5,17,20,-23.0
