SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42019,1610612754,IND,Indiana Pacers,0041900134,2020-08-24,IND @ MIA,L,241,87,33,80,0.413,14,37,0.378,7,11,0.636,5,29,34,20,8,6,15,16,-12.0
42019,1610612754,IND,Indiana Pacers,0041900133,2020-08-22,IND @ MIA,L,240,115,41,84,0.488,12,33,0.364,21,28,0.75,7,30,37,23,10,5,14,31,-9.0
42019,1610612754,IND,Indiana Pacers,0041900132,2020-08-20,IND vs. MIA,L,240,100,36,81,0.444,12,34,0.353,16,20,0.8,4,34,38,25,12,7,16,23,-9.0
42019,1610612754,IND,Indiana Pacers,0041900131,2020-08-18,IND vs. MIA,L,241,101,36,76,0.474,10,24,0.417,19,22,0.864,7,30,37,22,7,4,13,23,-12.0
22019,1610612754,IND,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,239,109,43,89,0.483,15,38,0.395,8,11,0.727,12,39,51,32,11,3,19,27,17.0
22019,1610612754,IND,Indiana Pacers,0021901304,2020-08-12,IND @ HOU,W,240,108,40,100,0.4,11,31,0.355,17,22,0.773,12,42,54,25,15,7,14,25,4.0
22019,1610612754,IND,Indiana Pacers,0021901295,2020-08-10,IND @ MIA,L,238,92,33,84,0.393,10,35,0.286,16,25,0.64,6,39,45,20,5,4,17,19,-22.0
22019,1610612754,IND,Indiana Pacers,0021901282,2020-08-08,IND vs. LAL,W,239,116,44,84,0.524,15,33,0.455,13,14,0.929,7,35,42,25,12,4,20,21,5.0
22019,1610612754,IND,Indiana Pacers,0021901270,2020-08-06,IND @ PHX,L,240,99,37,85,0.435,10,29,0.345,15,19,0.789,5,33,38,20,6,5,15,22,-15.0
22019,1610612754,IND,Indiana Pacers,0021901259,2020-08-04,IND vs. ORL,W,241,120,46,84,0.548,13,33,0.394,15,19,0.789,2,30,32,29,10,3,7,17,11.0
22019,1610612754,IND,Indiana Pacers,0021901252,2020-08-03,IND @ WAS,W,240,111,44,92,0.478,7,26,0.269,16,16,1.0,9,36,45,20,6,11,10,15,11.0
22019,1610612754,IND,Indiana Pacers,0021901242,2020-08-01,IND vs. PHI,W,242,127,48,95,0.505,14,34,0.412,17,23,0.739,10,24,34,31,8,5,10,25,6.0
12019,1610612754,IND,Indiana Pacers,0011900130,2020-07-28,IND vs. SAS,L,240,111,43,96,0.448,10,24,0.417,15,20,0.75,12,37,49,23,5,3,15,20,-7.0
12019,1610612754,IND,Indiana Pacers,0011900120,2020-07-26,IND @ DAL,W,241,118,46,95,0.484,8,31,0.258,18,21,0.857,8,44,52,26,5,7,12,26,7.0
12019,1610612754,IND,Indiana Pacers,0011900106,2020-07-23,IND vs. POR,W,240,91,31,76,0.408,13,33,0.394,16,18,0.889,8,34,42,21,8,4,16,18,3.0
22019,1610612754,IND,Indiana Pacers,0021900960,2020-03-10,IND vs. BOS,L,239,111,46,93,0.495,9,24,0.375,10,11,0.909,10,33,43,23,5,8,12,20,-3.0
22019,1610612754,IND,Indiana Pacers,0021900952,2020-03-08,IND @ DAL,W,239,112,46,88,0.523,8,23,0.348,12,18,0.667,6,41,47,23,5,6,10,23,3.0
22019,1610612754,IND,Indiana Pacers,0021900934,2020-03-06,IND @ CHI,W,238,108,38,75,0.507,8,22,0.364,24,33,0.727,10,36,46,24,9,8,21,16,6.0
22019,1610612754,IND,Indiana Pacers,0021900924,2020-03-04,IND @ MIL,L,240,100,42,97,0.433,7,27,0.259,9,11,0.818,7,32,39,22,12,2,15,18,-19.0
22019,1610612754,IND,Indiana Pacers,0021900908,2020-03-02,IND @ SAS,W,240,116,39,78,0.5,15,31,0.484,23,26,0.885,6,34,40,22,9,5,13,20,5.0
22019,1610612754,IND,Indiana Pacers,0021900890,2020-02-29,IND @ CLE,W,240,113,47,87,0.54,8,23,0.348,11,14,0.786,8,30,38,30,10,6,13,20,9.0
22019,1610612754,IND,Indiana Pacers,0021900874,2020-02-27,IND vs. POR,W,241,106,40,90,0.444,8,25,0.32,18,23,0.783,13,35,48,21,8,4,11,12,6.0
22019,1610612754,IND,Indiana Pacers,0021900857,2020-02-25,IND vs. CHA,W,239,119,49,86,0.57,10,23,0.435,11,13,0.846,7,49,56,35,8,11,14,17,39.0
22019,1610612754,IND,Indiana Pacers,0021900843,2020-02-23,IND @ TOR,L,239,81,31,95,0.326,8,33,0.242,11,17,0.647,12,27,39,23,13,4,17,20,-46.0
22019,1610612754,IND,Indiana Pacers,0021900828,2020-02-21,IND @ NYK,W,240,106,36,88,0.409,8,28,0.286,26,33,0.788,12,38,50,20,7,5,11,22,8.0
22019,1610612754,IND,Indiana Pacers,0021900810,2020-02-12,IND vs. MIL,W,240,118,45,86,0.523,9,27,0.333,19,24,0.792,8,36,44,28,10,3,14,21,7.0
22019,1610612754,IND,Indiana Pacers,0021900794,2020-02-10,IND vs. BKN,L,240,105,45,92,0.489,7,30,0.233,8,11,0.727,6,34,40,28,7,3,6,21,-1.0
22019,1610612754,IND,Indiana Pacers,0021900780,2020-02-08,IND vs. NOP,L,241,117,44,83,0.53,9,26,0.346,20,27,0.741,2,35,37,25,5,9,14,25,-7.0
22019,1610612754,IND,Indiana Pacers,0021900772,2020-02-07,IND vs. TOR,L,239,106,39,86,0.453,10,34,0.294,18,22,0.818,11,36,47,26,5,5,20,18,-9.0
22019,1610612754,IND,Indiana Pacers,0021900758,2020-02-05,IND @ TOR,L,241,118,43,82,0.524,19,39,0.487,13,16,0.813,8,34,42,29,6,5,18,18,-1.0
22019,1610612754,IND,Indiana Pacers,0021900743,2020-02-03,IND vs. DAL,L,240,103,44,96,0.458,7,34,0.206,8,11,0.727,8,32,40,28,7,6,4,18,-9.0
22019,1610612754,IND,Indiana Pacers,0021900728,2020-02-01,IND vs. NYK,L,241,85,32,76,0.421,8,24,0.333,13,21,0.619,4,30,34,21,4,1,11,20,-7.0
22019,1610612754,IND,Indiana Pacers,0021900708,2020-01-29,IND vs. CHI,W,265,115,46,89,0.517,7,27,0.259,16,22,0.727,13,33,46,26,8,2,17,14,9.0
22019,1610612754,IND,Indiana Pacers,0021900692,2020-01-26,IND @ POR,L,241,129,48,93,0.516,13,28,0.464,20,21,0.952,6,25,31,31,5,2,6,19,-10.0
22019,1610612754,IND,Indiana Pacers,0021900679,2020-01-24,IND @ GSW,W,242,129,50,87,0.575,17,28,0.607,12,13,0.923,5,31,36,35,15,4,10,20,11.0
22019,1610612754,IND,Indiana Pacers,0021900664,2020-01-22,IND @ PHX,W,241,112,45,84,0.536,9,20,0.45,13,20,0.65,4,38,42,26,8,8,9,20,25.0
22019,1610612754,IND,Indiana Pacers,0021900651,2020-01-20,IND @ UTA,L,240,88,39,93,0.419,7,26,0.269,3,7,0.429,9,21,30,23,15,9,13,14,-30.0
22019,1610612754,IND,Indiana Pacers,0021900638,2020-01-19,IND @ DEN,W,240,115,43,86,0.5,13,29,0.448,16,19,0.842,11,27,38,31,1,4,14,25,8.0
22019,1610612754,IND,Indiana Pacers,0021900619,2020-01-17,IND vs. MIN,W,240,116,46,82,0.561,8,24,0.333,16,20,0.8,4,37,41,24,4,8,13,20,2.0
22019,1610612754,IND,Indiana Pacers,0021900608,2020-01-15,IND @ MIN,W,240,104,44,85,0.518,7,23,0.304,9,12,0.75,7,38,45,27,7,3,15,15,5.0
22019,1610612754,IND,Indiana Pacers,0021900592,2020-01-13,IND vs. PHI,W,240,101,33,86,0.384,10,26,0.385,25,31,0.806,13,37,50,24,6,6,9,14,6.0
22019,1610612754,IND,Indiana Pacers,0021900570,2020-01-10,IND @ CHI,W,240,116,48,84,0.571,11,30,0.367,9,14,0.643,8,38,46,31,9,5,11,16,11.0
22019,1610612754,IND,Indiana Pacers,0021900556,2020-01-08,IND vs. MIA,L,239,108,40,84,0.476,9,27,0.333,19,25,0.76,6,31,37,25,5,3,12,18,-14.0
22019,1610612754,IND,Indiana Pacers,0021900539,2020-01-06,IND @ CHA,W,241,115,47,89,0.528,10,26,0.385,11,14,0.786,12,31,43,31,8,5,10,23,11.0
22019,1610612754,IND,Indiana Pacers,0021900526,2020-01-04,IND @ ATL,L,239,111,36,87,0.414,10,27,0.37,29,35,0.829,13,26,39,24,8,4,11,24,-5.0
22019,1610612754,IND,Indiana Pacers,0021900509,2020-01-02,IND vs. DEN,L,240,116,43,82,0.524,12,26,0.462,18,25,0.72,9,25,34,32,7,3,9,21,-8.0
22019,1610612754,IND,Indiana Pacers,0021900498,2019-12-31,IND vs. PHI,W,240,115,42,86,0.488,11,25,0.44,20,26,0.769,5,33,38,35,3,6,6,16,18.0
22019,1610612754,IND,Indiana Pacers,0021900474,2019-12-28,IND @ NOP,L,240,98,33,85,0.388,6,28,0.214,26,29,0.897,12,34,46,17,6,2,18,16,-22.0
22019,1610612754,IND,Indiana Pacers,0021900470,2019-12-27,IND @ MIA,L,239,112,44,90,0.489,14,31,0.452,10,12,0.833,2,32,34,27,8,4,4,16,-1.0
22019,1610612754,IND,Indiana Pacers,0021900446,2019-12-23,IND vs. TOR,W,265,120,45,95,0.474,18,42,0.429,12,20,0.6,13,32,45,34,7,8,12,22,5.0
22019,1610612754,IND,Indiana Pacers,0021900441,2019-12-22,IND @ MIL,L,240,89,37,100,0.37,12,40,0.3,3,5,0.6,10,38,48,27,7,5,13,15,-28.0
22019,1610612754,IND,Indiana Pacers,0021900421,2019-12-20,IND vs. SAC,W,241,119,45,86,0.523,14,31,0.452,15,18,0.833,7,32,39,34,5,7,9,15,14.0
22019,1610612754,IND,Indiana Pacers,0021900402,2019-12-17,IND vs. LAL,W,240,105,41,85,0.482,10,25,0.4,13,20,0.65,13,30,43,22,9,6,12,21,3.0
22019,1610612754,IND,Indiana Pacers,0021900389,2019-12-15,IND vs. CHA,W,240,107,40,88,0.455,10,35,0.286,17,20,0.85,8,43,51,30,6,9,9,25,22.0
22019,1610612754,IND,Indiana Pacers,0021900373,2019-12-13,IND @ ATL,W,240,110,46,92,0.5,7,22,0.318,11,15,0.733,6,40,46,28,7,0,14,21,10.0
22019,1610612754,IND,Indiana Pacers,0021900357,2019-12-11,IND vs. BOS,W,240,122,41,85,0.482,10,25,0.4,30,36,0.833,5,31,36,27,11,4,10,18,5.0
22019,1610612754,IND,Indiana Pacers,0021900343,2019-12-09,IND vs. LAC,L,242,99,34,97,0.351,10,35,0.286,21,28,0.75,14,42,56,16,7,3,13,21,-11.0
22019,1610612754,IND,Indiana Pacers,0021900331,2019-12-07,IND @ NYK,W,239,104,41,85,0.482,12,28,0.429,10,13,0.769,5,37,42,26,7,9,16,17,1.0
22019,1610612754,IND,Indiana Pacers,0021900322,2019-12-06,IND @ DET,L,240,101,38,83,0.458,9,24,0.375,16,20,0.8,5,28,33,24,8,9,11,18,-7.0
22019,1610612754,IND,Indiana Pacers,0021900312,2019-12-04,IND @ OKC,W,239,107,42,87,0.483,9,24,0.375,14,17,0.824,11,28,39,19,5,1,8,21,7.0
22019,1610612754,IND,Indiana Pacers,0021900296,2019-12-02,IND @ MEM,W,240,117,44,88,0.5,16,38,0.421,13,15,0.867,8,36,44,31,4,2,15,22,13.0
22019,1610612754,IND,Indiana Pacers,0021900281,2019-11-30,IND @ PHI,L,240,116,42,76,0.553,11,22,0.5,21,25,0.84,3,28,31,22,7,3,19,24,-3.0
22019,1610612754,IND,Indiana Pacers,0021900272,2019-11-29,IND vs. ATL,W,264,105,39,92,0.424,6,26,0.231,21,28,0.75,9,33,42,19,12,6,15,20,1.0
22019,1610612754,IND,Indiana Pacers,0021900256,2019-11-27,IND vs. UTA,W,241,121,50,96,0.521,8,22,0.364,13,16,0.813,11,31,42,23,8,4,12,19,19.0
22019,1610612754,IND,Indiana Pacers,0021900242,2019-11-25,IND vs. MEM,W,240,126,51,94,0.543,18,33,0.545,6,10,0.6,10,37,47,29,6,6,13,11,12.0
22019,1610612754,IND,Indiana Pacers,0021900227,2019-11-23,IND vs. ORL,W,239,111,43,79,0.544,10,24,0.417,15,16,0.938,7,35,42,26,6,6,19,14,5.0
22019,1610612754,IND,Indiana Pacers,0021900190,2019-11-18,IND @ BKN,W,242,115,44,101,0.436,14,33,0.424,13,17,0.765,15,48,63,26,5,8,10,22,29.0
22019,1610612754,IND,Indiana Pacers,0021900176,2019-11-16,IND vs. MIL,L,240,83,32,100,0.32,12,34,0.353,7,9,0.778,14,40,54,19,8,7,13,10,-19.0
22019,1610612754,IND,Indiana Pacers,0021900169,2019-11-15,IND @ HOU,L,239,102,37,82,0.451,8,33,0.242,20,26,0.769,8,34,42,24,2,2,16,25,-9.0
22019,1610612754,IND,Indiana Pacers,0021900146,2019-11-12,IND vs. OKC,W,239,111,46,94,0.489,7,23,0.304,12,13,0.923,11,39,50,21,6,4,14,20,26.0
22019,1610612754,IND,Indiana Pacers,0021900133,2019-11-10,IND @ ORL,W,241,109,48,91,0.527,9,20,0.45,4,5,0.8,10,33,43,31,6,3,9,13,7.0
22019,1610612754,IND,Indiana Pacers,0021900116,2019-11-08,IND vs. DET,W,240,112,43,83,0.518,4,15,0.267,22,25,0.88,10,34,44,23,6,8,12,16,6.0
22019,1610612754,IND,Indiana Pacers,0021900104,2019-11-06,IND vs. WAS,W,240,121,44,94,0.468,12,30,0.4,21,26,0.808,13,35,48,35,8,3,13,25,15.0
22019,1610612754,IND,Indiana Pacers,0021900097,2019-11-05,IND @ CHA,L,264,120,51,94,0.543,12,30,0.4,6,7,0.857,7,36,43,27,5,7,18,34,-2.0
22019,1610612754,IND,Indiana Pacers,0021900085,2019-11-03,IND vs. CHI,W,241,108,40,85,0.471,8,26,0.308,20,27,0.741,10,39,49,28,6,10,16,24,13.0
22019,1610612754,IND,Indiana Pacers,0021900070,2019-11-01,IND vs. CLE,W,239,102,39,96,0.406,5,27,0.185,19,21,0.905,13,45,58,20,8,10,13,24,7.0
22019,1610612754,IND,Indiana Pacers,0021900059,2019-10-30,IND @ BKN,W,239,118,45,96,0.469,11,26,0.423,17,20,0.85,11,30,41,25,9,2,9,24,10.0
22019,1610612754,IND,Indiana Pacers,0021900041,2019-10-28,IND @ DET,L,241,94,39,94,0.415,6,21,0.286,10,13,0.769,13,32,45,24,11,4,7,18,-2.0
22019,1610612754,IND,Indiana Pacers,0021900030,2019-10-26,IND @ CLE,L,241,99,39,87,0.448,10,28,0.357,11,13,0.846,6,30,36,23,7,3,17,27,-11.0
22019,1610612754,IND,Indiana Pacers,0021900004,2019-10-23,IND vs. DET,L,241,110,41,89,0.461,8,21,0.381,20,24,0.833,10,26,36,26,8,6,15,28,-9.0
12019,1610612754,IND,Indiana Pacers,0011900060,2019-10-15,IND vs. MIN,L,238,111,41,102,0.402,13,35,0.371,16,18,0.889,9,41,50,28,8,7,18,19,-8.0
12019,1610612754,IND,Indiana Pacers,0011900038,2019-10-11,IND vs. CHI,W,239,105,36,82,0.439,12,34,0.353,21,30,0.7,7,43,50,26,6,7,27,21,18.0
12019,1610612754,IND,Indiana Pacers,0011900005,2019-10-05,IND vs. SAC,W,242,130,49,94,0.521,15,29,0.517,17,18,0.944,10,41,51,35,7,10,20,28,24.0
12019,1610612754,IND,Indiana Pacers,0011900003,2019-10-04,IND @ SAC,W,264,132,48,93,0.516,10,27,0.37,26,33,0.788,14,33,47,26,11,3,24,29,1.0
22019,1610612754,IND,Indiana Pacers,1521900070,2019-07-12,IND @ LAC,W,199,86,33,75,0.44,9,25,0.36,11,19,0.579,13,26,39,12,8,1,9,15,5.0
22019,1610612754,IND,Indiana Pacers,1521900059,2019-07-11,IND vs. TOR,L,200,79,23,74,0.311,9,35,0.257,24,28,0.857,9,30,39,11,5,2,13,21,-11.0
22019,1610612754,IND,Indiana Pacers,1521900042,2019-07-09,IND @ ATL,L,201,67,25,71,0.352,4,29,0.138,13,16,0.813,12,23,35,13,10,1,15,23,-16.0
22019,1610612754,IND,Indiana Pacers,1521900032,2019-07-08,IND @ DET,L,200,84,28,77,0.364,5,24,0.208,23,33,0.697,16,21,37,13,9,4,17,29,-11.0
22019,1610612754,IND,Indiana Pacers,1521900015,2019-07-06,IND vs. MEM,L,199,75,27,76,0.355,7,28,0.25,14,22,0.636,9,25,34,12,11,0,15,18,-13.4
