SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42019,1610612746,LAC,LA Clippers,0041900237,2020-09-15,LAC vs. DEN,L,240,89,34,90,0.378,9,35,0.257,12,16,0.75,12,25,37,21,8,3,10,20,-15.0
42019,1610612746,LAC,LA Clippers,0041900236,2020-09-13,LAC @ DEN,L,240,98,32,78,0.41,10,27,0.37,24,27,0.889,9,28,37,20,10,4,13,22,-13.0
42019,1610612746,LAC,LA Clippers,0041900235,2020-09-11,LAC vs. DEN,L,240,105,37,88,0.42,16,42,0.381,15,17,0.882,10,31,41,22,6,5,9,22,-6.0
42019,1610612746,LAC,LA Clippers,0041900234,2020-09-09,LAC @ DEN,W,242,96,33,79,0.418,8,28,0.286,22,30,0.733,9,32,41,19,7,5,9,26,11.0
42019,1610612746,LAC,LA Clippers,0041900233,2020-09-07,LAC @ DEN,W,240,113,41,75,0.547,11,31,0.355,20,26,0.769,3,38,41,23,7,4,17,20,6.0
42019,1610612746,LAC,LA Clippers,0041900232,2020-09-05,LAC vs. DEN,L,239,101,36,88,0.409,9,32,0.281,20,29,0.69,19,33,52,20,9,4,17,17,-9.0
42019,1610612746,LAC,LA Clippers,0041900231,2020-09-03,LAC vs. DEN,W,238,120,48,84,0.571,10,24,0.417,14,17,0.824,9,36,45,23,7,3,14,24,23.0
42019,1610612746,LAC,LA Clippers,0041900156,2020-08-30,LAC @ DAL,W,241,111,44,91,0.484,11,29,0.379,12,13,0.923,8,44,52,22,8,2,13,21,14.0
42019,1610612746,LAC,LA Clippers,0041900155,2020-08-25,LAC vs. DAL,W,240,154,53,84,0.631,22,35,0.629,26,34,0.765,8,41,49,28,5,4,15,26,43.0
42019,1610612746,LAC,LA Clippers,0041900154,2020-08-23,LAC @ DAL,L,265,133,45,97,0.464,14,38,0.368,29,32,0.906,8,33,41,19,7,5,9,23,-2.0
42019,1610612746,LAC,LA Clippers,0041900153,2020-08-21,LAC @ DAL,W,240,130,47,90,0.522,14,34,0.412,22,27,0.815,8,36,44,24,7,4,7,24,8.0
42019,1610612746,LAC,LA Clippers,0041900152,2020-08-19,LAC vs. DAL,L,240,114,37,84,0.44,10,34,0.294,30,39,0.769,9,38,47,16,4,2,15,29,-13.0
42019,1610612746,LAC,LA Clippers,0041900151,2020-08-17,LAC vs. DAL,W,237,118,45,95,0.474,13,38,0.342,15,20,0.75,11,34,45,18,12,3,11,24,8.0
22019,1610612746,LAC,LA Clippers,0021901317,2020-08-14,LAC vs. OKC,W,265,107,34,85,0.4,12,37,0.324,27,39,0.692,12,49,61,23,10,2,20,22,4.0
22019,1610612746,LAC,LA Clippers,0021901307,2020-08-12,LAC @ DEN,W,240,124,46,85,0.541,14,37,0.378,18,23,0.783,6,34,40,29,11,1,7,25,13.0
22019,1610612746,LAC,LA Clippers,0021901291,2020-08-09,LAC vs. BKN,L,242,120,45,93,0.484,13,36,0.361,17,20,0.85,10,29,39,23,8,2,10,19,-9.0
22019,1610612746,LAC,LA Clippers,0021901280,2020-08-08,LAC @ POR,W,242,122,42,85,0.494,15,34,0.441,23,28,0.821,9,36,45,24,5,2,14,22,5.0
22019,1610612746,LAC,LA Clippers,0021901271,2020-08-06,LAC @ DAL,W,241,126,50,92,0.543,14,31,0.452,12,15,0.8,9,36,45,22,3,3,6,21,15.0
22019,1610612746,LAC,LA Clippers,0021901258,2020-08-04,LAC vs. PHX,L,241,115,42,85,0.494,8,29,0.276,23,27,0.852,8,40,48,21,2,3,10,16,-2.0
22019,1610612746,LAC,LA Clippers,0021901241,2020-08-01,LAC vs. NOP,W,240,126,37,87,0.425,25,47,0.532,27,35,0.771,8,40,48,23,10,2,10,28,23.0
22019,1610612746,LAC,LA Clippers,0021901232,2020-07-30,LAC @ LAL,L,239,101,32,74,0.432,16,36,0.444,21,28,0.75,4,32,36,17,6,5,20,30,-2.0
12019,1610612746,LAC,LA Clippers,0011900124,2020-07-27,LAC vs. SAC,L,239,102,33,92,0.359,14,51,0.275,22,25,0.88,8,39,47,21,3,1,10,25,-4.0
12019,1610612746,LAC,LA Clippers,0011900116,2020-07-25,LAC @ WAS,W,239,105,39,83,0.47,15,38,0.395,12,26,0.462,5,42,47,23,7,9,17,28,5.0
