SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42020,1610612747,LAL,Los Angeles Lakers,0042000156,2021-06-03,LAL vs. PHX,L,241,100,38,91,0.418,10,35,0.286,14,16,0.875,11,24,35,21,5,3,7,20,-13.0
42020,1610612747,LAL,Los Angeles Lakers,0042000155,2021-06-01,LAL @ PHX,L,240,85,29,84,0.345,12,35,0.343,15,21,0.714,10,41,51,14,3,1,16,25,-30.0
42020,1610612747,LAL,Los Angeles Lakers,0042000154,2021-05-30,LAL vs. PHX,L,239,92,32,81,0.395,13,40,0.325,15,21,0.714,9,41,50,19,3,5,15,18,-8.0
42020,1610612747,LAL,Los Angeles Lakers,0042000153,2021-05-27,LAL vs. PHX,W,240,109,38,86,0.442,7,28,0.25,26,30,0.867,15,36,51,19,10,4,20,19,14.0
42020,1610612747,LAL,Los Angeles Lakers,0042000152,2021-05-25,LAL @ PHX,W,241,109,36,80,0.45,10,33,0.303,27,31,0.871,8,31,39,24,9,6,7,23,7.0
42020,1610612747,LAL,Los Angeles Lakers,0042000151,2021-05-23,LAL @ PHX,L,240,90,33,76,0.434,7,26,0.269,17,28,0.607,10,23,33,19,10,5,14,18,-9.0
52020,1610612747,LAL,Los Angeles Lakers,0052000121,2021-05-19,LAL vs. GSW,W,240,103,37,91,0.407,10,31,0.323,19,25,0.76,13,36,49,27,15,7,11,18,3.0
22020,1610612747,LAL,Los Angeles Lakers,0022001072,2021-05-16,LAL @ NOP,W,238,110,45,96,0.469,11,35,0.314,9,15,0.6,8,34,42,30,14,5,9,16,12.0
22020,1610612747,LAL,Los Angeles Lakers,0022001061,2021-05-15,LAL @ IND,W,241,122,41,86,0.477,11,29,0.379,29,36,0.806,11,34,45,25,5,3,13,15,7.0
22020,1610612747,LAL,Los Angeles Lakers,0022001046,2021-05-12,LAL vs. HOU,W,242,124,52,91,0.571,7,20,0.35,13,22,0.591,8,33,41,28,8,3,11,20,2.0
22020,1610612747,LAL,Los Angeles Lakers,0022001041,2021-05-11,LAL vs. NYK,W,265,101,37,89,0.416,12,28,0.429,15,19,0.789,14,39,53,31,5,5,18,17,2.0
22020,1610612747,LAL,Los Angeles Lakers,0022001024,2021-05-09,LAL vs. PHX,W,240,123,39,80,0.488,13,30,0.433,32,41,0.78,14,27,41,24,11,3,13,21,13.0
22020,1610612747,LAL,Los Angeles Lakers,0022001010,2021-05-07,LAL @ POR,L,240,101,37,89,0.416,11,30,0.367,16,22,0.727,10,39,49,19,2,4,14,20,-5.0
22020,1610612747,LAL,Los Angeles Lakers,0022001002,2021-05-06,LAL @ LAC,L,241,94,33,87,0.379,10,36,0.278,18,29,0.621,11,23,34,21,8,6,10,23,-24.0
22020,1610612747,LAL,Los Angeles Lakers,0022000982,2021-05-03,LAL vs. DEN,W,242,93,32,73,0.438,13,30,0.433,16,23,0.696,7,36,43,18,5,8,20,20,4.0
22020,1610612747,LAL,Los Angeles Lakers,0022000974,2021-05-02,LAL vs. TOR,L,239,114,41,85,0.482,11,29,0.379,21,31,0.677,7,37,44,32,7,6,14,22,-7.0
22020,1610612747,LAL,Los Angeles Lakers,0022000956,2021-04-30,LAL vs. SAC,L,240,106,42,83,0.506,7,28,0.25,15,21,0.714,11,32,43,24,9,12,21,17,-4.0
22020,1610612747,LAL,Los Angeles Lakers,0022000935,2021-04-28,LAL @ WAS,L,239,107,42,96,0.438,10,34,0.294,13,21,0.619,13,28,41,31,10,8,10,20,-9.0
22020,1610612747,LAL,Los Angeles Lakers,0022000917,2021-04-26,LAL @ ORL,W,240,114,47,87,0.54,11,31,0.355,9,14,0.643,9,35,44,23,8,5,11,18,11.0
22020,1610612747,LAL,Los Angeles Lakers,0022000908,2021-04-24,LAL @ DAL,L,240,93,33,86,0.384,12,45,0.267,15,19,0.789,6,30,36,22,11,4,9,22,-15.0
22020,1610612747,LAL,Los Angeles Lakers,0022000897,2021-04-22,LAL @ DAL,L,240,110,43,90,0.478,10,30,0.333,14,17,0.824,12,33,45,26,7,5,16,28,-5.0
