SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42019,1610612748,MIA,Miami Heat,0041900406,2020-10-11,MIA vs. LAL,L,240,93,35,79,0.443,10,28,0.357,13,22,0.591,9,32,41,25,4,4,13,18,-13.0
42019,1610612748,MIA,Miami Heat,0041900405,2020-10-09,MIA @ LAL,W,241,111,38,83,0.458,14,33,0.424,21,22,0.955,9,26,35,26,7,3,13,19,3.0
42019,1610612748,MIA,Miami Heat,0041900404,2020-10-06,MIA vs. LAL,L,239,96,32,75,0.427,11,32,0.344,21,26,0.808,7,32,39,18,8,3,11,21,-6.0
42019,1610612748,MIA,Miami Heat,0041900403,2020-10-04,MIA vs. LAL,W,240,115,41,80,0.513,12,34,0.353,21,23,0.913,3,34,37,25,8,3,12,23,11.0
42019,1610612748,MIA,Miami Heat,0041900402,2020-10-02,MIA @ LAL,L,240,114,36,71,0.507,11,27,0.407,31,34,0.912,6,31,37,29,2,1,9,23,-10.0
42019,1610612748,MIA,Miami Heat,0041900401,2020-09-30,MIA @ LAL,L,239,98,38,89,0.427,11,35,0.314,11,14,0.786,5,31,36,23,4,5,8,15,-18.0
42019,1610612748,MIA,Miami Heat,0041900306,2020-09-27,MIA vs. BOS,W,240,125,45,80,0.563,13,27,0.481,22,26,0.846,2,38,40,30,6,2,12,13,12.0
42019,1610612748,MIA,Miami Heat,0041900305,2020-09-25,MIA @ BOS,L,239,108,39,86,0.453,7,36,0.194,23,29,0.793,6,32,38,27,3,5,12,29,-13.0
42019,1610612748,MIA,Miami Heat,0041900304,2020-09-23,MIA vs. BOS,W,240,112,39,91,0.429,10,37,0.27,24,27,0.889,10,30,40,20,9,2,8,20,3.0
42019,1610612748,MIA,Miami Heat,0041900303,2020-09-19,MIA vs. BOS,L,239,106,33,85,0.388,12,44,0.273,28,34,0.824,12,30,42,21,5,8,13,24,-11.0
42019,1610612748,MIA,Miami Heat,0041900302,2020-09-17,MIA @ BOS,W,238,106,40,90,0.444,14,43,0.326,12,14,0.857,11,27,38,27,11,2,9,19,5.0
42019,1610612748,MIA,Miami Heat,0041900301,2020-09-15,MIA @ BOS,W,265,117,40,85,0.471,16,36,0.444,21,28,0.75,7,34,41,32,6,6,12,23,3.0
42019,1610612748,MIA,Miami Heat,0041900205,2020-09-08,MIA @ MIL,W,241,103,35,73,0.479,11,31,0.355,22,24,0.917,5,43,48,21,6,7,21,21,9.0
42019,1610612748,MIA,Miami Heat,0041900204,2020-09-06,MIA vs. MIL,L,266,115,40,90,0.444,17,47,0.362,18,20,0.9,6,35,41,33,8,1,15,18,-3.0
42019,1610612748,MIA,Miami Heat,0041900203,2020-09-04,MIA vs. MIL,W,240,115,35,78,0.449,18,47,0.383,27,34,0.794,9,40,49,27,3,6,11,19,15.0
42019,1610612748,MIA,Miami Heat,0041900202,2020-09-02,MIA @ MIL,W,241,116,37,81,0.457,17,45,0.378,25,32,0.781,7,31,38,22,12,4,10,26,2.0
42019,1610612748,MIA,Miami Heat,0041900201,2020-08-31,MIA @ MIL,W,241,115,39,84,0.464,12,31,0.387,25,27,0.926,12,34,46,21,8,2,16,23,11.0
42019,1610612748,MIA,Miami Heat,0041900134,2020-08-24,MIA vs. IND,W,240,99,40,91,0.44,8,30,0.267,11,14,0.786,17,43,60,24,8,4,13,12,12.0
42019,1610612748,MIA,Miami Heat,0041900133,2020-08-22,MIA vs. IND,W,241,124,34,75,0.453,13,33,0.394,43,52,0.827,7,39,46,23,10,2,16,19,9.0
42019,1610612748,MIA,Miami Heat,0041900132,2020-08-20,MIA @ IND,W,239,109,36,76,0.474,18,35,0.514,19,28,0.679,7,34,41,27,9,4,16,15,9.0
42019,1610612748,MIA,Miami Heat,0041900131,2020-08-18,MIA @ IND,W,241,113,40,81,0.494,13,35,0.371,20,25,0.8,6,29,35,22,8,7,9,17,12.0
22019,1610612748,MIA,Miami Heat,0021901316,2020-08-14,MIA @ IND,L,240,92,31,87,0.356,10,38,0.263,20,27,0.741,14,34,48,14,6,5,19,15,-17.0
22019,1610612748,MIA,Miami Heat,0021901306,2020-08-12,MIA @ OKC,L,241,115,42,86,0.488,14,42,0.333,17,20,0.85,6,34,40,24,14,2,12,23,-1.0
22019,1610612748,MIA,Miami Heat,0021901295,2020-08-10,MIA vs. IND,W,240,114,44,98,0.449,13,40,0.325,13,19,0.684,13,46,59,29,11,9,13,20,22.0
22019,1610612748,MIA,Miami Heat,0021901283,2020-08-08,MIA vs. PHX,L,240,112,41,84,0.488,11,36,0.306,19,22,0.864,3,34,37,28,6,9,12,21,-7.0
22019,1610612748,MIA,Miami Heat,0021901269,2020-08-06,MIA @ MIL,L,239,116,35,83,0.422,21,46,0.457,25,27,0.926,6,33,39,28,6,1,19,28,-14.0
22019,1610612748,MIA,Miami Heat,0021901260,2020-08-04,MIA vs. BOS,W,239,112,34,77,0.442,15,43,0.349,29,39,0.744,12,30,42,22,8,5,12,19,6.0
22019,1610612748,MIA,Miami Heat,0021901250,2020-08-03,MIA vs. TOR,L,240,103,37,87,0.425,14,45,0.311,15,16,0.938,8,33,41,29,9,8,14,24,-4.0
22019,1610612748,MIA,Miami Heat,0021901239,2020-08-01,MIA @ DEN,W,240,125,40,72,0.556,13,29,0.448,32,37,0.865,6,32,38,29,7,2,15,28,20.0
12019,1610612748,MIA,Miami Heat,0011900128,2020-07-28,MIA vs. MEM,L,240,110,36,84,0.429,15,45,0.333,23,32,0.719,5,38,43,33,6,6,18,21,-18.0
12019,1610612748,MIA,Miami Heat,0011900114,2020-07-25,MIA @ UTA,L,241,99,36,87,0.414,11,43,0.256,16,20,0.8,6,36,42,28,4,0,16,18,-2.0
12019,1610612748,MIA,Miami Heat,0011900104,2020-07-22,MIA vs. SAC,W,240,104,32,68,0.471,14,44,0.318,26,29,0.897,5,29,34,22,6,3,16,22,6.0
22019,1610612748,MIA,Miami Heat,0021900970,2020-03-11,MIA vs. CHA,L,239,98,39,84,0.464,15,44,0.341,5,6,0.833,9,27,36,32,8,5,14,17,-11.0
22019,1610612748,MIA,Miami Heat,0021900951,2020-03-08,MIA @ WAS,W,238,100,32,66,0.485,13,28,0.464,23,28,0.821,5,41,46,21,7,8,20,25,11.0
22019,1610612748,MIA,Miami Heat,0021900936,2020-03-06,MIA @ NOP,L,240,104,37,86,0.43,9,33,0.273,21,31,0.677,10,35,45,27,11,9,15,23,-6.0
22019,1610612748,MIA,Miami Heat,0021900919,2020-03-04,MIA vs. ORL,W,240,116,41,79,0.519,22,44,0.5,12,15,0.8,6,30,36,31,8,5,12,17,3.0
22019,1610612748,MIA,Miami Heat,0021900906,2020-03-02,MIA vs. MIL,W,240,105,37,86,0.43,18,37,0.486,13,18,0.722,6,40,46,28,4,4,9,19,16.0
22019,1610612748,MIA,Miami Heat,0021900889,2020-02-29,MIA vs. BKN,W,239,116,41,91,0.451,14,38,0.368,20,24,0.833,10,35,45,27,4,4,6,21,3.0
22019,1610612748,MIA,Miami Heat,0021900880,2020-02-28,MIA vs. DAL,W,240,126,41,79,0.519,17,35,0.486,27,36,0.75,6,34,40,30,6,2,9,21,8.0
22019,1610612748,MIA,Miami Heat,0021900868,2020-02-26,MIA vs. MIN,L,239,126,41,78,0.526,11,26,0.423,33,43,0.767,8,35,43,30,9,8,21,21,-3.0
22019,1610612748,MIA,Miami Heat,0021900849,2020-02-24,MIA @ CLE,L,265,119,44,96,0.458,16,42,0.381,15,20,0.75,9,40,49,33,6,11,12,22,-6.0
22019,1610612748,MIA,Miami Heat,0021900838,2020-02-22,MIA vs. CLE,W,240,124,45,79,0.57,19,40,0.475,15,20,0.75,4,25,29,34,16,4,15,20,19.0
22019,1610612748,MIA,Miami Heat,0021900821,2020-02-20,MIA @ ATL,L,238,124,40,98,0.408,11,37,0.297,33,38,0.868,15,36,51,28,9,7,15,31,-5.0
22019,1610612748,MIA,Miami Heat,0021900816,2020-02-12,MIA @ UTA,L,240,101,38,88,0.432,13,39,0.333,12,16,0.75,6,31,37,19,11,4,11,22,-15.0
22019,1610612748,MIA,Miami Heat,0021900800,2020-02-10,MIA @ GSW,W,241,113,43,87,0.494,12,33,0.364,15,21,0.714,7,38,45,36,10,3,11,19,12.0
22019,1610612748,MIA,Miami Heat,0021900792,2020-02-09,MIA @ POR,L,240,109,39,98,0.398,20,49,0.408,11,14,0.786,13,36,49,31,6,5,13,22,-6.0
22019,1610612748,MIA,Miami Heat,0021900775,2020-02-07,MIA @ SAC,L,241,97,34,77,0.442,12,40,0.3,17,25,0.68,7,35,42,21,7,5,20,16,-8.0
22019,1610612748,MIA,Miami Heat,0021900763,2020-02-05,MIA @ LAC,L,239,111,40,93,0.43,16,42,0.381,15,21,0.714,10,36,46,29,7,2,8,16,-17.0
22019,1610612748,MIA,Miami Heat,0021900747,2020-02-03,MIA vs. PHI,W,239,137,48,85,0.565,16,32,0.5,25,30,0.833,6,29,35,27,8,1,3,18,31.0
22019,1610612748,MIA,Miami Heat,0021900729,2020-02-01,MIA @ ORL,W,240,102,33,77,0.429,15,33,0.455,21,26,0.808,10,38,48,24,6,8,13,16,13.0
22019,1610612748,MIA,Miami Heat,0021900701,2020-01-28,MIA vs. BOS,L,238,101,33,89,0.371,9,37,0.243,26,31,0.839,11,34,45,15,11,2,10,21,-8.0
22019,1610612748,MIA,Miami Heat,0021900694,2020-01-27,MIA vs. ORL,W,239,113,42,79,0.532,14,28,0.5,15,16,0.938,3,38,41,31,2,9,10,18,21.0
22019,1610612748,MIA,Miami Heat,0021900673,2020-01-24,MIA vs. LAC,L,240,117,40,93,0.43,13,44,0.295,24,29,0.828,9,36,45,25,4,4,9,19,-5.0
22019,1610612748,MIA,Miami Heat,0021900658,2020-01-22,MIA vs. WAS,W,266,134,43,85,0.506,17,33,0.515,31,36,0.861,6,37,43,29,3,6,16,18,5.0
22019,1610612748,MIA,Miami Heat,0021900644,2020-01-20,MIA vs. SAC,W,265,118,42,83,0.506,16,42,0.381,18,22,0.818,5,37,42,26,9,3,21,20,5.0
22019,1610612748,MIA,Miami Heat,0021900637,2020-01-19,MIA @ SAS,L,240,102,37,86,0.43,10,34,0.294,18,20,0.9,10,37,47,23,8,3,9,19,-5.0
22019,1610612748,MIA,Miami Heat,0021900623,2020-01-17,MIA @ OKC,W,241,115,41,84,0.488,14,36,0.389,19,24,0.792,6,39,45,26,4,3,11,23,7.0
22019,1610612748,MIA,Miami Heat,0021900606,2020-01-15,MIA vs. SAS,W,241,106,41,88,0.466,17,40,0.425,7,13,0.538,8,41,49,26,4,5,9,14,6.0
22019,1610612748,MIA,Miami Heat,0021900584,2020-01-12,MIA @ NYK,L,241,121,42,78,0.538,14,35,0.4,23,28,0.821,8,31,39,24,1,5,14,24,-3.0
22019,1610612748,MIA,Miami Heat,0021900568,2020-01-10,MIA @ BKN,L,239,113,44,85,0.518,7,29,0.241,18,21,0.857,4,36,40,26,6,3,7,20,-4.0
22019,1610612748,MIA,Miami Heat,0021900556,2020-01-08,MIA @ IND,W,240,122,43,81,0.531,16,38,0.421,20,25,0.8,3,38,41,28,8,4,11,22,14.0
22019,1610612748,MIA,Miami Heat,0021900535,2020-01-05,MIA vs. POR,W,241,122,47,90,0.522,18,44,0.409,10,16,0.625,11,36,47,34,4,5,10,17,11.0
22019,1610612748,MIA,Miami Heat,0021900518,2020-01-03,MIA @ ORL,L,242,85,30,80,0.375,7,37,0.189,18,23,0.783,10,39,49,16,7,2,18,20,-20.0
22019,1610612748,MIA,Miami Heat,0021900510,2020-01-02,MIA vs. TOR,W,238,84,33,81,0.407,12,37,0.324,6,11,0.545,9,41,50,23,6,4,13,13,8.0
22019,1610612748,MIA,Miami Heat,0021900492,2019-12-30,MIA @ WAS,L,241,105,33,73,0.452,10,28,0.357,29,39,0.744,10,34,44,18,5,1,18,22,-18.0
22019,1610612748,MIA,Miami Heat,0021900475,2019-12-28,MIA vs. PHI,W,266,117,42,94,0.447,10,28,0.357,23,29,0.793,8,35,43,26,6,4,8,21,1.0
22019,1610612748,MIA,Miami Heat,0021900470,2019-12-27,MIA vs. IND,W,239,113,40,89,0.449,16,38,0.421,17,19,0.895,14,42,56,29,3,2,13,12,1.0
22019,1610612748,MIA,Miami Heat,0021900449,2019-12-23,MIA vs. UTA,W,240,107,37,90,0.411,9,25,0.36,24,27,0.889,13,43,56,16,8,3,14,16,3.0
22019,1610612748,MIA,Miami Heat,0021900424,2019-12-20,MIA vs. NYK,W,240,129,43,77,0.558,18,38,0.474,25,34,0.735,9,42,51,34,6,3,17,22,15.0
22019,1610612748,MIA,Miami Heat,0021900410,2019-12-18,MIA @ PHI,W,241,108,40,85,0.471,12,31,0.387,16,20,0.8,11,36,47,26,6,4,12,14,4.0
22019,1610612748,MIA,Miami Heat,0021900397,2019-12-16,MIA @ MEM,L,240,111,37,81,0.457,11,24,0.458,26,31,0.839,7,28,35,22,9,7,14,26,-7.0
22019,1610612748,MIA,Miami Heat,0021900384,2019-12-14,MIA @ DAL,W,265,122,39,91,0.429,16,40,0.4,28,34,0.824,5,44,49,27,8,3,8,18,4.0
22019,1610612748,MIA,Miami Heat,0021900374,2019-12-13,MIA vs. LAL,L,239,110,39,85,0.459,10,33,0.303,22,28,0.786,5,29,34,24,8,2,8,21,-3.0
22019,1610612748,MIA,Miami Heat,0021900354,2019-12-10,MIA vs. ATL,W,267,135,53,103,0.515,14,41,0.341,15,22,0.682,9,44,53,35,5,3,11,17,14.0
22019,1610612748,MIA,Miami Heat,0021900337,2019-12-08,MIA vs. CHI,W,265,110,32,77,0.416,11,35,0.314,35,44,0.795,10,33,43,20,9,2,17,23,5.0
22019,1610612748,MIA,Miami Heat,0021900324,2019-12-06,MIA vs. WAS,W,241,112,42,86,0.488,10,28,0.357,18,24,0.75,11,39,50,28,6,7,12,13,9.0
22019,1610612748,MIA,Miami Heat,0021900310,2019-12-04,MIA @ BOS,L,239,93,34,77,0.442,14,38,0.368,11,17,0.647,8,32,40,20,7,2,18,25,-19.0
22019,1610612748,MIA,Miami Heat,0021900301,2019-12-03,MIA @ TOR,W,265,121,45,99,0.455,15,38,0.395,16,21,0.762,10,45,55,29,4,7,11,27,11.0
22019,1610612748,MIA,Miami Heat,0021900284,2019-12-01,MIA @ BKN,W,240,109,37,95,0.389,12,37,0.324,23,28,0.821,16,35,51,16,3,2,9,17,3.0
22019,1610612748,MIA,Miami Heat,0021900273,2019-11-29,MIA vs. GSW,W,241,122,44,82,0.537,13,25,0.52,21,28,0.75,10,39,49,23,7,3,15,30,17.0
22019,1610612748,MIA,Miami Heat,0021900259,2019-11-27,MIA @ HOU,L,240,108,37,80,0.463,14,37,0.378,20,27,0.741,8,33,41,22,8,3,18,24,-9.0
22019,1610612748,MIA,Miami Heat,0021900245,2019-11-25,MIA vs. CHA,W,239,117,40,77,0.519,13,31,0.419,24,28,0.857,8,41,49,29,9,3,18,23,17.0
22019,1610612748,MIA,Miami Heat,0021900230,2019-11-23,MIA @ PHI,L,240,86,30,75,0.4,6,24,0.25,20,27,0.741,9,29,38,12,6,4,17,16,-27.0
22019,1610612748,MIA,Miami Heat,0021900219,2019-11-22,MIA @ CHI,W,239,116,39,79,0.494,14,38,0.368,24,28,0.857,9,35,44,33,10,3,19,17,8.0
22019,1610612748,MIA,Miami Heat,0021900206,2019-11-20,MIA vs. CLE,W,238,124,41,78,0.526,19,37,0.514,23,31,0.742,12,32,44,25,8,5,23,20,24.0
22019,1610612748,MIA,Miami Heat,0021900178,2019-11-16,MIA vs. NOP,W,239,109,44,81,0.543,9,24,0.375,12,13,0.923,9,36,45,25,13,3,20,6,15.0
22019,1610612748,MIA,Miami Heat,0021900161,2019-11-14,MIA @ CLE,W,239,108,43,79,0.544,12,30,0.4,10,11,0.909,4,37,41,31,10,7,18,21,11.0
22019,1610612748,MIA,Miami Heat,0021900148,2019-11-12,MIA vs. DET,W,240,117,41,77,0.532,14,32,0.438,21,27,0.778,8,34,42,34,6,1,19,30,9.0
22019,1610612748,MIA,Miami Heat,0021900126,2019-11-08,MIA @ LAL,L,239,80,28,80,0.35,6,35,0.171,18,24,0.75,8,29,37,18,9,2,12,12,-15.0
22019,1610612748,MIA,Miami Heat,0021900114,2019-11-07,MIA @ PHX,W,241,124,45,82,0.549,15,28,0.536,19,24,0.792,5,36,41,22,9,5,13,28,16.0
22019,1610612748,MIA,Miami Heat,0021900102,2019-11-05,MIA @ DEN,L,239,89,32,88,0.364,9,29,0.31,16,25,0.64,13,31,44,23,12,5,13,21,-20.0
22019,1610612748,MIA,Miami Heat,0021900086,2019-11-03,MIA vs. HOU,W,240,129,47,89,0.528,18,41,0.439,17,22,0.773,5,41,46,38,14,7,15,21,29.0
22019,1610612748,MIA,Miami Heat,0021900066,2019-10-31,MIA @ ATL,W,239,106,40,84,0.476,14,37,0.378,12,19,0.632,9,32,41,29,12,9,13,18,9.0
22019,1610612748,MIA,Miami Heat,0021900052,2019-10-29,MIA vs. ATL,W,241,112,33,73,0.452,13,31,0.419,33,45,0.733,13,36,49,19,11,6,26,22,15.0
22019,1610612748,MIA,Miami Heat,0021900039,2019-10-27,MIA @ MIN,L,239,109,42,85,0.494,15,36,0.417,10,15,0.667,7,34,41,25,7,9,21,23,-7.0
22019,1610612748,MIA,Miami Heat,0021900026,2019-10-26,MIA @ MIL,W,266,131,46,101,0.455,16,44,0.364,23,36,0.639,8,46,54,33,7,3,16,30,5.0
22019,1610612748,MIA,Miami Heat,0021900007,2019-10-23,MIA vs. MEM,W,240,120,40,85,0.471,7,18,0.389,33,39,0.846,11,40,51,18,9,8,21,33,19.0
12019,1610612748,MIA,Miami Heat,0011900076,2019-10-18,MIA vs. HOU,L,241,133,51,94,0.543,18,37,0.486,13,18,0.722,14,31,45,26,6,1,22,29,-11.0
12019,1610612748,MIA,Miami Heat,0011900069,2019-10-17,MIA @ ORL,W,240,107,44,87,0.506,9,30,0.3,10,11,0.909,6,37,43,28,12,5,22,24,9.0
12019,1610612748,MIA,Miami Heat,0011900053,2019-10-14,MIA vs. ATL,W,240,120,42,92,0.457,15,37,0.405,21,27,0.778,12,40,52,26,7,7,19,27,33.0
12019,1610612748,MIA,Miami Heat,0011900027,2019-10-09,MIA @ CHA,W,241,108,42,87,0.483,15,37,0.405,9,9,1.0,6,37,43,23,11,4,19,23,14.0
12019,1610612748,MIA,Miami Heat,0011900019,2019-10-08,MIA vs. SAS,W,239,107,41,89,0.461,8,32,0.25,17,21,0.81,7,42,49,25,8,5,15,21,18.0
22019,1610612748,MIA,Miami Heat,1521900076,2019-07-13,MIA @ NOP,L,209,100,39,78,0.5,6,26,0.231,16,23,0.696,17,28,45,14,9,8,22,25,0.0
22019,1610612748,MIA,Miami Heat,1521900053,2019-07-10,MIA vs. MIN,L,201,87,35,77,0.455,9,27,0.333,8,9,0.889,10,30,40,19,7,7,18,20,-3.0
22019,1610612748,MIA,Miami Heat,1521900041,2019-07-09,MIA @ ORL,W,200,96,34,76,0.447,8,25,0.32,20,28,0.714,11,40,51,19,3,2,17,23,8.4
22019,1610612748,MIA,Miami Heat,1521900026,2019-07-07,MIA vs. UTA,W,201,93,38,78,0.487,6,27,0.222,11,17,0.647,6,29,35,22,10,1,11,25,9.6
22019,1610612748,MIA,Miami Heat,1521900004,2019-07-05,MIA @ CHN,W,201,103,31,69,0.449,13,27,0.481,28,34,0.824,17,26,43,20,11,5,10,24,41.0
22019,1610612748,MIA,Miami Heat,1321900005,2019-07-03,MIA @ GSW,W,241,73,25,65,0.385,7,28,0.25,16,20,0.8,11,25,36,7,12,5,15,18,-0.4
22019,1610612748,MIA,Miami Heat,1321900004,2019-07-02,MIA @ SAC,W,240,89,29,72,0.403,7,28,0.25,24,28,0.857,8,30,38,14,5,5,11,27,-3.4
22019,1610612748,MIA,Miami Heat,1321900001,2019-07-01,MIA @ LAL,W,239,106,36,71,0.507,15,29,0.517,19,27,0.704,10,31,41,18,5,6,10,29,27.2
