SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42020,1610612749,MIL,Milwaukee Bucks,0042000212,2021-06-07,MIL @ BKN,L,241,86,37,84,0.44,8,27,0.296,4,9,0.444,11,33,44,14,2,3,16,12,-39.0
42020,1610612749,MIL,Milwaukee Bucks,0042000211,2021-06-05,MIL @ BKN,L,241,107,45,101,0.446,6,30,0.2,11,19,0.579,15,43,58,21,4,3,14,15,-8.0
42020,1610612749,MIL,Milwaukee Bucks,0042000124,2021-05-29,MIL @ MIA,W,239,120,46,99,0.465,13,42,0.31,15,18,0.833,15,41,56,29,5,4,11,18,17.0
42020,1610612749,MIL,Milwaukee Bucks,0042000123,2021-05-27,MIL @ MIA,W,239,113,43,89,0.483,13,36,0.361,14,18,0.778,10,45,55,25,6,2,15,19,29.0
42020,1610612749,MIL,Milwaukee Bucks,0042000122,2021-05-24,MIL vs. MIA,W,240,132,46,94,0.489,22,53,0.415,18,20,0.9,21,40,61,34,8,5,15,25,34.0
42020,1610612749,MIL,Milwaukee Bucks,0042000121,2021-05-22,MIL vs. MIA,W,264,109,42,96,0.438,5,31,0.161,20,33,0.606,15,49,64,19,11,1,17,18,2.0
22020,1610612749,MIL,Milwaukee Bucks,0022001068,2021-05-16,MIL @ CHI,L,241,112,38,90,0.422,12,37,0.324,24,32,0.75,10,31,41,14,13,5,11,16,-6.0
22020,1610612749,MIL,Milwaukee Bucks,0022001062,2021-05-15,MIL vs. MIA,W,242,122,46,86,0.535,13,35,0.371,17,24,0.708,5,43,48,29,4,3,11,15,14.0
22020,1610612749,MIL,Milwaukee Bucks,0022001048,2021-05-13,MIL @ IND,W,240,142,54,94,0.574,11,30,0.367,23,31,0.742,10,41,51,34,5,6,12,10,9.0
22020,1610612749,MIL,Milwaukee Bucks,0022001038,2021-05-11,MIL vs. ORL,W,241,114,43,101,0.426,8,33,0.242,20,27,0.741,17,46,63,16,10,1,9,15,12.0
22020,1610612749,MIL,Milwaukee Bucks,0022001029,2021-05-10,MIL @ SAS,L,240,125,47,94,0.5,13,41,0.317,18,23,0.783,8,26,34,26,6,6,7,13,-21.0
22020,1610612749,MIL,Milwaukee Bucks,0022001006,2021-05-07,MIL vs. HOU,W,241,141,51,95,0.537,19,46,0.413,20,23,0.87,13,40,53,30,8,5,17,14,8.0
22020,1610612749,MIL,Milwaukee Bucks,0022000235,2021-05-05,MIL vs. WAS,W,241,135,48,89,0.539,18,37,0.486,21,28,0.75,10,35,45,30,4,6,19,31,1.0
22020,1610612749,MIL,Milwaukee Bucks,0022000985,2021-05-04,MIL vs. BKN,W,239,124,44,98,0.449,14,37,0.378,22,27,0.815,15,40,55,23,7,3,12,21,6.0
22020,1610612749,MIL,Milwaukee Bucks,0022000967,2021-05-02,MIL vs. BKN,W,240,117,48,98,0.49,15,37,0.405,6,12,0.5,8,37,45,19,9,11,10,18,3.0
22020,1610612749,MIL,Milwaukee Bucks,0022000954,2021-04-30,MIL @ CHI,W,241,108,42,90,0.467,9,25,0.36,15,20,0.75,8,43,51,24,5,5,10,19,10.0
22020,1610612749,MIL,Milwaukee Bucks,0022000945,2021-04-29,MIL @ HOU,L,240,136,49,93,0.527,16,39,0.41,22,25,0.88,8,30,38,27,12,5,14,21,-7.0
22020,1610612749,MIL,Milwaukee Bucks,0022000928,2021-04-27,MIL @ CHA,W,241,114,47,93,0.505,9,35,0.257,11,14,0.786,9,39,48,28,13,3,15,24,10.0
22020,1610612749,MIL,Milwaukee Bucks,0022000913,2021-04-25,MIL @ ATL,L,239,104,39,81,0.481,8,28,0.286,18,23,0.783,4,37,41,20,6,6,12,18,-7.0
22020,1610612749,MIL,Milwaukee Bucks,0022000905,2021-04-24,MIL vs. PHI,W,241,132,49,95,0.516,18,40,0.45,16,24,0.667,16,39,55,33,10,4,15,28,38.0
22020,1610612749,MIL,Milwaukee Bucks,0022000894,2021-04-22,MIL vs. PHI,W,241,124,45,81,0.556,20,40,0.5,14,23,0.609,6,39,45,32,6,8,16,16,7.0
22020,1610612749,MIL,Milwaukee Bucks,0022000873,2021-04-19,MIL vs. PHX,L,262,127,49,102,0.48,11,34,0.324,18,19,0.947,9,42,51,19,7,3,11,15,-1.0
22020,1610612749,MIL,Milwaukee Bucks,0022000859,2021-04-17,MIL vs. MEM,L,238,115,39,91,0.429,16,47,0.34,21,27,0.778,13,32,45,27,7,1,16,8,-13.0
22020,1610612749,MIL,Milwaukee Bucks,0022000840,2021-04-15,MIL @ ATL,W,241,120,46,95,0.484,16,43,0.372,12,17,0.706,14,37,51,25,8,1,8,16,11.0
22020,1610612749,MIL,Milwaukee Bucks,0022000834,2021-04-14,MIL @ MIN,W,238,130,46,98,0.469,19,40,0.475,19,23,0.826,7,45,52,26,14,4,16,20,25.0
22020,1610612749,MIL,Milwaukee Bucks,0022000808,2021-04-11,MIL @ ORL,W,239,124,46,94,0.489,19,40,0.475,13,15,0.867,12,44,56,28,8,7,11,15,37.0
22020,1610612749,MIL,Milwaukee Bucks,0022000796,2021-04-09,MIL vs. CHA,L,241,119,44,98,0.449,14,38,0.368,17,23,0.739,13,35,48,23,10,3,17,14,-8.0
22020,1610612749,MIL,Milwaukee Bucks,0022000786,2021-04-08,MIL @ DAL,L,240,101,38,100,0.38,12,33,0.364,13,16,0.813,14,38,52,16,8,1,9,20,-15.0
22020,1610612749,MIL,Milwaukee Bucks,0022000774,2021-04-06,MIL @ GSW,L,241,121,44,86,0.512,14,32,0.438,19,22,0.864,6,34,40,25,7,2,14,13,-1.0
22020,1610612749,MIL,Milwaukee Bucks,0022000754,2021-04-03,MIL @ SAC,W,239,129,50,93,0.538,11,31,0.355,18,20,0.9,12,35,47,31,10,3,13,15,1.0
22020,1610612749,MIL,Milwaukee Bucks,0022000745,2021-04-02,MIL @ POR,W,239,127,49,90,0.544,12,39,0.308,17,19,0.895,4,46,50,25,7,5,15,18,18.0
22020,1610612749,MIL,Milwaukee Bucks,0022000729,2021-03-31,MIL @ LAL,W,238,112,42,79,0.532,14,26,0.538,14,18,0.778,7,35,42,23,13,8,21,17,15.0
22020,1610612749,MIL,Milwaukee Bucks,0022000717,2021-03-29,MIL @ LAC,L,242,105,38,81,0.469,11,30,0.367,18,21,0.857,5,27,32,18,8,4,12,14,-24.0
22020,1610612749,MIL,Milwaukee Bucks,0022000695,2021-03-27,MIL vs. NYK,L,239,96,36,87,0.414,14,36,0.389,10,16,0.625,15,33,48,21,11,7,16,11,-6.0
22020,1610612749,MIL,Milwaukee Bucks,0022000685,2021-03-26,MIL vs. BOS,L,240,114,44,99,0.444,19,47,0.404,7,11,0.636,16,33,49,24,7,3,16,16,-8.0
22020,1610612749,MIL,Milwaukee Bucks,0022000669,2021-03-24,MIL vs. BOS,W,241,121,45,90,0.5,17,37,0.459,14,20,0.7,13,33,46,19,8,5,16,14,2.0
22020,1610612749,MIL,Milwaukee Bucks,0022000659,2021-03-22,MIL vs. IND,W,239,140,53,94,0.564,24,39,0.615,10,15,0.667,8,47,55,35,3,5,15,16,27.0
22020,1610612749,MIL,Milwaukee Bucks,0022000643,2021-03-20,MIL vs. SAS,W,241,120,45,92,0.489,14,38,0.368,16,18,0.889,6,43,49,24,5,3,11,11,7.0
22020,1610612749,MIL,Milwaukee Bucks,0022000618,2021-03-17,MIL @ PHI,W,264,109,41,101,0.406,9,39,0.231,18,24,0.75,12,46,58,22,11,1,22,11,4.0
22020,1610612749,MIL,Milwaukee Bucks,0022000603,2021-03-15,MIL @ WAS,W,240,133,52,94,0.553,11,28,0.393,18,19,0.947,9,37,46,29,6,5,16,20,11.0
22020,1610612749,MIL,Milwaukee Bucks,0022000589,2021-03-13,MIL @ WAS,W,239,125,43,99,0.434,17,45,0.378,22,25,0.88,13,44,57,33,9,3,18,19,6.0
22020,1610612749,MIL,Milwaukee Bucks,0022000573,2021-03-11,MIL vs. NYK,W,238,134,50,87,0.575,18,38,0.474,16,17,0.941,5,38,43,29,9,9,12,18,33.0
22020,1610612749,MIL,Milwaukee Bucks,0022000555,2021-03-04,MIL @ MEM,W,240,112,42,95,0.442,10,34,0.294,18,22,0.818,13,39,52,21,11,5,16,19,1.0
22020,1610612749,MIL,Milwaukee Bucks,0022000540,2021-03-02,MIL vs. DEN,L,240,97,32,79,0.405,11,40,0.275,22,31,0.71,11,29,40,22,4,4,13,18,-31.0
22020,1610612749,MIL,Milwaukee Bucks,0022000520,2021-02-28,MIL vs. LAC,W,240,105,38,85,0.447,12,38,0.316,17,22,0.773,8,40,48,21,7,5,11,11,5.0
22020,1610612749,MIL,Milwaukee Bucks,0022000503,2021-02-25,MIL vs. NOP,W,241,129,52,96,0.542,13,31,0.419,12,16,0.75,8,34,42,21,4,8,9,13,4.0
22020,1610612749,MIL,Milwaukee Bucks,0022000486,2021-02-23,MIL vs. MIN,W,242,139,53,99,0.535,20,42,0.476,13,18,0.722,9,43,52,33,11,5,8,13,27.0
22020,1610612749,MIL,Milwaukee Bucks,0022000471,2021-02-21,MIL vs. SAC,W,241,128,44,90,0.489,11,28,0.393,29,36,0.806,14,42,56,22,8,5,17,19,13.0
22020,1610612749,MIL,Milwaukee Bucks,0022000453,2021-02-19,MIL vs. OKC,W,240,98,35,86,0.407,11,34,0.324,17,25,0.68,11,50,61,23,5,6,12,18,13.0
22020,1610612749,MIL,Milwaukee Bucks,0022000445,2021-02-18,MIL vs. TOR,L,239,96,35,88,0.398,10,34,0.294,16,23,0.696,15,37,52,23,6,2,15,23,-14.0
22020,1610612749,MIL,Milwaukee Bucks,0022000430,2021-02-16,MIL vs. TOR,L,240,113,40,83,0.482,14,37,0.378,19,25,0.76,5,36,41,25,10,5,17,17,-11.0
22020,1610612749,MIL,Milwaukee Bucks,0022000415,2021-02-14,MIL @ OKC,L,240,109,45,97,0.464,13,38,0.342,6,9,0.667,12,35,47,24,9,5,14,16,-5.0
22020,1610612749,MIL,Milwaukee Bucks,0022000402,2021-02-12,MIL @ UTA,L,242,115,42,92,0.457,12,33,0.364,19,27,0.704,6,27,33,19,8,6,10,28,-14.0
22020,1610612749,MIL,Milwaukee Bucks,0022000389,2021-02-10,MIL @ PHX,L,240,124,43,85,0.506,16,37,0.432,22,30,0.733,10,29,39,23,6,0,9,21,-1.0
22020,1610612749,MIL,Milwaukee Bucks,0022000373,2021-02-08,MIL @ DEN,W,241,125,45,89,0.506,16,40,0.4,19,22,0.864,11,39,50,24,7,7,10,19,13.0
22020,1610612749,MIL,Milwaukee Bucks,0022000357,2021-02-06,MIL @ CLE,W,240,124,47,86,0.547,16,34,0.471,14,23,0.609,6,37,43,25,10,2,8,20,25.0
22020,1610612749,MIL,Milwaukee Bucks,0022000346,2021-02-05,MIL @ CLE,W,239,123,50,97,0.515,7,22,0.318,16,22,0.727,13,41,54,28,6,7,11,18,18.0
22020,1610612749,MIL,Milwaukee Bucks,0022000329,2021-02-03,MIL vs. IND,W,239,130,48,102,0.471,21,48,0.438,13,14,0.929,11,42,53,33,13,7,12,11,20.0
22020,1610612749,MIL,Milwaukee Bucks,0022000316,2021-02-01,MIL vs. POR,W,241,134,53,96,0.552,21,42,0.5,7,12,0.583,9,44,53,38,10,7,12,13,28.0
