SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22019,1610612750,MIN,Minnesota Timberwolves,0021900963,2020-03-10,MIN @ HOU,L,240,111,40,83,0.482,14,35,0.4,17,23,0.739,8,33,41,21,9,0,18,20,-6.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900947,2020-03-08,MIN vs. NOP,L,240,107,37,94,0.394,8,33,0.242,25,31,0.806,9,33,42,20,15,3,17,23,-13.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900935,2020-03-06,MIN vs. ORL,L,240,118,46,98,0.469,10,37,0.27,16,20,0.8,10,26,36,30,6,3,8,21,-14.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900922,2020-03-04,MIN vs. CHI,W,240,115,40,81,0.494,19,43,0.442,16,25,0.64,10,33,43,27,5,4,17,15,7.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900911,2020-03-03,MIN @ NOP,W,241,139,54,97,0.557,14,34,0.412,17,20,0.85,10,32,42,31,11,2,16,22,5.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900896,2020-03-01,MIN vs. DAL,L,241,91,36,99,0.364,13,42,0.31,6,15,0.4,14,43,57,19,9,3,13,17,-20.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900877,2020-02-28,MIN @ ORL,L,239,125,46,95,0.484,17,44,0.386,16,24,0.667,6,27,33,27,10,6,15,20,-11.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900868,2020-02-26,MIN @ MIA,W,240,129,47,91,0.516,17,46,0.37,18,25,0.72,5,28,33,28,16,8,16,35,3.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900854,2020-02-24,MIN @ DAL,L,239,123,42,95,0.442,15,42,0.357,24,34,0.706,7,35,42,16,4,6,11,22,-16.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900844,2020-02-23,MIN @ DEN,L,241,116,40,90,0.444,14,40,0.35,22,29,0.759,9,29,38,26,7,2,15,16,-12.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900830,2020-02-21,MIN vs. BOS,L,241,117,36,89,0.404,15,42,0.357,30,35,0.857,8,35,43,23,8,10,8,27,-10.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900813,2020-02-12,MIN vs. CHA,L,240,108,39,101,0.386,14,49,0.286,16,20,0.8,14,34,48,25,10,7,11,19,-7.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900796,2020-02-10,MIN @ TOR,L,241,126,39,86,0.453,18,40,0.45,30,35,0.857,10,28,38,24,6,4,23,19,-11.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900782,2020-02-08,MIN vs. LAC,W,240,142,52,95,0.547,26,44,0.591,12,18,0.667,9,37,46,39,8,3,12,21,27.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900759,2020-02-05,MIN vs. ATL,L,240,120,45,91,0.495,9,35,0.257,21,28,0.75,6,27,33,18,13,7,16,21,-7.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900749,2020-02-03,MIN @ SAC,L,239,109,37,85,0.435,13,38,0.342,22,28,0.786,14,31,45,25,12,6,16,25,-4.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900727,2020-02-01,MIN @ LAC,L,241,106,34,84,0.405,7,39,0.179,31,37,0.838,6,38,44,24,9,4,17,20,-12.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900696,2020-01-27,MIN vs. SAC,L,264,129,43,89,0.483,23,46,0.5,20,33,0.606,10,35,45,29,7,8,20,27,-4.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900683,2020-01-25,MIN vs. OKC,L,239,104,40,90,0.444,12,43,0.279,12,18,0.667,7,34,41,33,9,4,13,21,-9.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900675,2020-01-24,MIN vs. HOU,L,240,124,48,98,0.49,11,32,0.344,17,20,0.85,13,38,51,28,8,8,17,26,-7.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900661,2020-01-22,MIN @ CHI,L,239,110,41,86,0.477,15,44,0.341,13,24,0.542,10,33,43,27,7,3,18,25,-7.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900649,2020-01-20,MIN vs. DEN,L,240,100,38,91,0.418,13,42,0.31,11,14,0.786,11,31,42,26,7,5,9,11,-7.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900632,2020-01-18,MIN vs. TOR,L,240,112,38,94,0.404,14,50,0.28,22,27,0.815,12,37,49,34,8,5,17,18,-10.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900619,2020-01-17,MIN @ IND,L,240,114,40,88,0.455,17,39,0.436,17,21,0.81,7,29,36,22,4,1,13,19,-2.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900608,2020-01-15,MIN vs. IND,L,239,99,38,88,0.432,11,28,0.393,12,16,0.75,10,35,45,26,6,7,15,14,-5.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900594,2020-01-13,MIN vs. OKC,L,240,104,38,91,0.418,12,35,0.343,16,21,0.762,9,28,37,23,10,6,9,21,-13.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900577,2020-01-11,MIN @ HOU,L,241,109,36,95,0.379,13,48,0.271,24,36,0.667,13,31,44,28,12,4,18,18,-30.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900565,2020-01-09,MIN vs. POR,W,241,116,44,89,0.494,13,32,0.406,15,21,0.714,15,41,56,25,7,9,14,28,14.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900551,2020-01-07,MIN @ MEM,L,241,112,40,90,0.444,15,47,0.319,17,21,0.81,10,30,40,23,10,1,18,23,-7.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900536,2020-01-05,MIN @ CLE,W,240,118,47,95,0.495,14,38,0.368,10,13,0.769,14,29,43,32,16,8,16,19,15.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900512,2020-01-02,MIN vs. GSW,W,239,99,38,95,0.4,13,43,0.302,10,17,0.588,17,35,52,22,7,7,12,20,15.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900506,2020-01-01,MIN @ MIL,L,240,104,34,91,0.374,15,46,0.326,21,28,0.75,6,42,48,18,7,8,11,25,-2.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900494,2019-12-30,MIN vs. BKN,W,264,122,42,104,0.404,17,44,0.386,21,29,0.724,11,49,60,20,12,8,14,22,7.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900479,2019-12-28,MIN vs. CLE,L,242,88,33,93,0.355,8,37,0.216,14,19,0.737,14,26,40,17,17,8,18,29,-6.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900464,2019-12-26,MIN @ SAC,W,291,105,36,104,0.346,10,46,0.217,23,29,0.793,14,51,65,23,7,5,13,20,1.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900454,2019-12-23,MIN @ GSW,L,240,104,35,87,0.402,11,34,0.324,23,29,0.793,9,31,40,16,10,7,16,18,-9.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900438,2019-12-21,MIN @ POR,L,241,106,38,87,0.437,15,37,0.405,15,16,0.938,7,32,39,16,8,8,16,18,-7.0
22019,1610612750,MIN,Minnesota Timberwolves,0021900427,2019-12-20,MIN @ DEN,L,239,100,36,87,0.414,10,42,0.238,18,27,0.667,16,30,46,20,8,8,14,15,-9.0
