SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22020,1610612753,ORL,Orlando Magic,0022001075,2021-05-16,ORL @ PHI,L,240,117,36,76,0.474,10,28,0.357,35,41,0.854,9,38,47,23,4,3,16,25,-11.0
22020,1610612753,ORL,Orlando Magic,0022001055,2021-05-14,ORL @ PHI,L,240,97,33,83,0.398,10,30,0.333,21,28,0.75,10,34,44,21,4,5,13,15,-25.0
22020,1610612753,ORL,Orlando Magic,0022001049,2021-05-13,ORL @ ATL,L,241,93,36,94,0.383,11,36,0.306,10,15,0.667,16,35,51,24,3,6,14,16,-23.0
22020,1610612753,ORL,Orlando Magic,0022001038,2021-05-11,ORL @ MIL,L,240,102,39,94,0.415,10,30,0.333,14,20,0.7,10,42,52,18,6,2,12,20,-12.0
22020,1610612753,ORL,Orlando Magic,0022001022,2021-05-09,ORL vs. MIN,L,241,96,36,91,0.396,9,36,0.25,15,22,0.682,10,35,45,20,5,5,13,20,-32.0
22020,1610612753,ORL,Orlando Magic,0022001004,2021-05-07,ORL @ CHA,L,240,112,41,98,0.418,9,30,0.3,21,28,0.75,14,33,47,19,6,7,6,24,-10.0
22020,1610612753,ORL,Orlando Magic,0022000990,2021-05-05,ORL vs. BOS,L,239,96,33,85,0.388,6,25,0.24,24,28,0.857,10,35,45,13,7,7,17,11,-36.0
22020,1610612753,ORL,Orlando Magic,0022000975,2021-05-03,ORL @ DET,W,240,119,45,88,0.511,10,23,0.435,19,25,0.76,9,39,48,27,6,3,10,18,7.0
22020,1610612753,ORL,Orlando Magic,0022000961,2021-05-01,ORL vs. MEM,W,241,112,38,85,0.447,11,25,0.44,25,28,0.893,6,31,37,20,10,5,10,17,1.0
22020,1610612753,ORL,Orlando Magic,0022000953,2021-04-30,ORL @ MEM,L,240,75,27,86,0.314,6,26,0.231,15,20,0.75,12,44,56,16,4,6,20,19,-17.0
22020,1610612753,ORL,Orlando Magic,0022000933,2021-04-28,ORL @ CLE,W,240,109,43,85,0.506,10,29,0.345,13,20,0.65,9,40,49,26,9,7,15,21,5.0
22020,1610612753,ORL,Orlando Magic,0022000917,2021-04-26,ORL vs. LAL,L,241,103,36,76,0.474,11,25,0.44,20,24,0.833,4,24,28,16,5,3,11,18,-11.0
22020,1610612753,ORL,Orlando Magic,0022000914,2021-04-25,ORL vs. IND,L,239,112,40,101,0.396,10,32,0.313,22,28,0.786,15,36,51,22,9,3,6,14,-19.0
22020,1610612753,ORL,Orlando Magic,0022000893,2021-04-22,ORL vs. NOP,L,240,100,36,98,0.367,13,36,0.361,15,19,0.789,13,27,40,13,6,6,4,18,-35.0
22020,1610612753,ORL,Orlando Magic,0022000876,2021-04-20,ORL @ ATL,L,240,96,34,86,0.395,8,37,0.216,20,29,0.69,6,34,40,13,11,3,10,19,-16.0
22020,1610612753,ORL,Orlando Magic,0022000864,2021-04-18,ORL vs. HOU,L,240,110,41,91,0.451,11,32,0.344,17,19,0.895,9,27,36,28,10,5,15,19,-4.0
22020,1610612753,ORL,Orlando Magic,0022000849,2021-04-16,ORL @ TOR,L,240,102,35,77,0.455,8,23,0.348,24,34,0.706,6,29,35,20,8,4,10,14,-11.0
22020,1610612753,ORL,Orlando Magic,0022000833,2021-04-14,ORL @ CHI,W,239,115,44,89,0.494,12,27,0.444,15,20,0.75,13,33,46,29,8,10,7,15,9.0
22020,1610612753,ORL,Orlando Magic,0022000816,2021-04-12,ORL vs. SAS,L,240,97,36,80,0.45,5,20,0.25,20,32,0.625,11,33,44,15,6,2,15,17,-23.0
22020,1610612753,ORL,Orlando Magic,0022000808,2021-04-11,ORL vs. MIL,L,240,87,32,86,0.372,8,36,0.222,15,19,0.789,7,30,37,19,8,6,14,13,-37.0
22020,1610612753,ORL,Orlando Magic,0022000790,2021-04-09,ORL vs. IND,L,241,106,38,90,0.422,6,24,0.25,24,31,0.774,12,38,50,23,3,8,15,22,-5.0
22020,1610612753,ORL,Orlando Magic,0022000777,2021-04-07,ORL vs. WAS,L,241,116,44,93,0.473,12,31,0.387,16,23,0.696,11,28,39,22,11,3,11,16,-15.0
22020,1610612753,ORL,Orlando Magic,0022000761,2021-04-04,ORL @ DEN,L,240,109,42,89,0.472,13,35,0.371,12,17,0.706,10,26,36,27,11,4,11,26,-10.0
22020,1610612753,ORL,Orlando Magic,0022000752,2021-04-03,ORL @ UTA,L,240,91,32,87,0.368,2,23,0.087,25,31,0.806,9,30,39,11,5,4,10,14,-46.0
22020,1610612753,ORL,Orlando Magic,0022000734,2021-04-01,ORL @ NOP,W,266,115,45,106,0.425,5,25,0.2,20,23,0.87,12,36,48,20,17,5,10,20,5.0
22020,1610612753,ORL,Orlando Magic,0022000720,2021-03-30,ORL @ LAC,W,241,103,38,92,0.413,5,17,0.294,22,25,0.88,15,35,50,23,10,6,8,13,7.0
22020,1610612753,ORL,Orlando Magic,0022000706,2021-03-28,ORL @ LAL,L,240,93,34,88,0.386,11,33,0.333,14,17,0.824,10,41,51,19,5,4,10,18,-3.0
22020,1610612753,ORL,Orlando Magic,0022000687,2021-03-26,ORL vs. POR,L,240,105,42,95,0.442,12,27,0.444,9,17,0.529,11,29,40,29,7,5,12,18,-7.0
22020,1610612753,ORL,Orlando Magic,0022000670,2021-03-24,ORL vs. PHX,W,240,112,42,90,0.467,13,37,0.351,15,19,0.789,9,40,49,18,3,5,11,18,1.0
22020,1610612753,ORL,Orlando Magic,0022000661,2021-03-23,ORL vs. DEN,L,240,99,39,88,0.443,11,34,0.324,10,14,0.714,9,28,37,27,8,4,13,12,-11.0
22020,1610612753,ORL,Orlando Magic,0022000167,2021-03-21,ORL @ BOS,L,240,96,32,84,0.381,11,34,0.324,21,30,0.7,9,35,44,20,6,4,6,13,-16.0
22020,1610612753,ORL,Orlando Magic,0022000633,2021-03-19,ORL vs. BKN,W,238,121,43,84,0.512,21,40,0.525,14,20,0.7,8,36,44,26,4,1,17,20,8.0
22020,1610612753,ORL,Orlando Magic,0022000627,2021-03-18,ORL @ NYK,L,239,93,35,82,0.427,10,34,0.294,13,16,0.813,8,41,49,21,6,6,10,13,-1.0
22020,1610612753,ORL,Orlando Magic,0022000596,2021-03-14,ORL vs. MIA,L,241,97,33,75,0.44,16,40,0.4,15,21,0.714,8,37,45,25,4,1,23,18,-5.0
22020,1610612753,ORL,Orlando Magic,0022000583,2021-03-12,ORL @ SAS,L,240,77,29,80,0.363,10,38,0.263,9,12,0.75,9,37,46,17,3,4,18,16,-27.0
22020,1610612753,ORL,Orlando Magic,0022000571,2021-03-11,ORL @ MIA,L,241,103,39,96,0.406,12,34,0.353,13,15,0.867,16,41,57,22,6,4,14,19,-8.0
22020,1610612753,ORL,Orlando Magic,0022000544,2021-03-03,ORL vs. ATL,L,240,112,36,84,0.429,13,35,0.371,27,27,1.0,10,36,46,24,6,5,10,15,-3.0
22020,1610612753,ORL,Orlando Magic,0022000529,2021-03-01,ORL vs. DAL,L,240,124,47,95,0.495,20,41,0.488,10,14,0.714,6,35,41,25,5,1,8,17,-6.0
22020,1610612753,ORL,Orlando Magic,0022000516,2021-02-27,ORL vs. UTA,L,241,109,44,96,0.458,14,34,0.412,7,8,0.875,7,30,37,27,6,3,3,18,-15.0
22020,1610612753,ORL,Orlando Magic,0022000499,2021-02-25,ORL @ BKN,L,238,92,35,87,0.402,9,36,0.25,13,15,0.867,4,31,35,19,8,1,18,10,-37.0
22020,1610612753,ORL,Orlando Magic,0022000481,2021-02-23,ORL vs. DET,L,241,93,33,88,0.375,14,38,0.368,13,22,0.591,10,38,48,25,9,6,12,16,-12.0
22020,1610612753,ORL,Orlando Magic,0022000467,2021-02-21,ORL vs. DET,W,241,105,35,81,0.432,9,30,0.3,26,29,0.897,5,46,51,24,7,8,11,18,9.0
22020,1610612753,ORL,Orlando Magic,0022000449,2021-02-19,ORL vs. GSW,W,240,124,46,94,0.489,18,43,0.419,14,17,0.824,8,43,51,30,7,8,13,19,4.0
22020,1610612753,ORL,Orlando Magic,0022000436,2021-02-17,ORL vs. NYK,W,241,107,42,92,0.457,16,34,0.471,7,10,0.7,10,40,50,27,10,7,12,15,18.0
22020,1610612753,ORL,Orlando Magic,0022000417,2021-02-14,ORL @ PHX,L,240,90,33,89,0.371,6,35,0.171,18,22,0.818,9,39,48,13,4,6,10,12,-19.0
22020,1610612753,ORL,Orlando Magic,0022000405,2021-02-12,ORL @ SAC,W,240,123,46,91,0.505,15,34,0.441,16,20,0.8,10,32,42,25,8,2,10,15,11.0
