TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,CONF_COUNT,DIV_COUNT,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK
1610612753,Orlando,Magic,1989-90,82,18,64,0.22,11,7,0,0,13,7,N/A,3457,7525,0.459,116,393,0.295,2060,2725,0.756,1304,2465,3769,1993,1975,617,1407,294,9090,5
1610612753,Orlando,Magic,1990-91,82,31,51,0.378,9,4,0,0,14,7,N/A,3298,7256,0.455,270,754,0.358,1818,2447,0.743,1233,2429,3662,1809,1976,602,1391,306,8684,14
1610612753,Orlando,Magic,1991-92,82,21,61,0.256,14,7,0,0,14,7,N/A,3220,7102,0.453,197,608,0.324,1693,2268,0.746,1171,2329,3500,1792,1977,643,1390,367,8330,21
1610612753,Orlando,Magic,1992-93,82,41,41,0.5,8,4,0,0,14,7,N/A,3257,6708,0.486,317,889,0.357,1821,2495,0.73,1040,2566,3606,1952,1925,542,1429,467,8652,12
1610612753,Orlando,Magic,1993-94,82,50,32,0.61,4,2,0,3,14,7,N/A,3341,6883,0.485,394,1137,0.347,1590,2346,0.678,1177,2356,3533,2070,1713,683,1327,456,8666,6
1610612753,Orlando,Magic,1994-95,82,57,25,0.695,1,1,11,10,14,7,FINALS APPEARANCE,3460,6899,0.502,523,1412,0.37,1648,2465,0.669,1149,2457,3606,2281,1726,672,1297,488,9091,1
1610612753,Orlando,Magic,1995-96,82,60,22,0.732,2,1,7,5,15,7,N/A,3203,6640,0.482,622,1645,0.378,1543,2232,0.691,966,2401,3367,2080,1709,663,1160,406,8571,3
1610612753,Orlando,Magic,1996-97,82,45,37,0.549,7,3,2,3,15,7,N/A,2839,6497,0.437,567,1662,0.341,1474,1975,0.746,1071,2221,3292,1689,1643,694,1250,363,7719,25
1610612753,Orlando,Magic,1997-98,82,41,41,0.5,10,5,0,0,15,7,N/A,2771,6455,0.429,293,907,0.323,1552,2138,0.726,1178,2203,3381,1694,1617,649,1258,441,7387,27
1610612753,Orlando,Magic,1998-99,50,33,17,0.66,1,1,1,3,15,7,N/A,1687,3943,0.428,223,675,0.33,876,1252,0.7,688,1445,2133,1067,935,496,819,213,4473,22
1610612753,Orlando,Magic,1999-00,82,41,41,0.5,9,4,0,0,15,7,N/A,3169,7014,0.452,294,870,0.338,1574,2142,0.735,1145,2540,3685,1709,1967,743,1443,467,8206,7
1610612753,Orlando,Magic,2000-01,82,43,39,0.524,7,4,1,3,15,7,N/A,3013,6873,0.438,490,1346,0.364,1476,2068,0.714,1069,2450,3519,1803,2071,674,1245,481,7992,6
1610612753,Orlando,Magic,2001-02,82,44,38,0.537,5,3,1,3,15,7,N/A,3087,6893,0.448,620,1660,0.373,1446,1917,0.754,942,2440,3382,1804,1700,665,1119,384,8240,4
1610612753,Orlando,Magic,2002-03,82,42,40,0.512,8,4,3,4,15,7,N/A,2947,6763,0.436,568,1590,0.357,1616,2079,0.777,958,2392,3350,1676,1888,696,1177,300,8078,6
1610612753,Orlando,Magic,2003-04,82,21,61,0.256,15,7,0,0,15,7,N/A,2904,6768,0.429,429,1248,0.344,1474,2000,0.737,1003,2350,3353,1584,1744,547,1123,308,7711,12
1610612753,Orlando,Magic,2004-05,82,36,46,0.439,10,3,0,0,15,5,N/A,3034,6679,0.454,320,916,0.349,1772,2335,0.759,1038,2544,3582,1583,1937,633,1322,441,8160,9
