SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42019,1610612757,POR,Portland Trail Blazers,0041900145,2020-08-29,POR @ LAL,L,239,122,44,93,0.473,13,27,0.481,21,26,0.808,10,33,43,20,12,1,19,28,-9.0
42019,1610612757,POR,Portland Trail Blazers,0041900144,2020-08-24,POR vs. LAL,L,241,115,40,89,0.449,12,28,0.429,23,31,0.742,17,25,42,20,9,2,17,27,-20.0
42019,1610612757,POR,Portland Trail Blazers,0041900143,2020-08-22,POR vs. LAL,L,240,108,39,95,0.411,12,35,0.343,18,19,0.947,7,31,38,17,7,4,11,25,-8.0
42019,1610612757,POR,Portland Trail Blazers,0041900142,2020-08-20,POR @ LAL,L,241,88,34,85,0.4,8,29,0.276,12,16,0.75,10,31,41,14,6,3,17,17,-23.0
42019,1610612757,POR,Portland Trail Blazers,0041900141,2020-08-18,POR @ LAL,W,241,100,31,79,0.392,13,34,0.382,25,33,0.758,5,45,50,18,3,8,16,28,7.0
52019,1610612757,POR,Portland Trail Blazers,0051900111,2020-08-15,POR vs. MEM,W,240,126,38,84,0.452,15,40,0.375,35,41,0.854,9,30,39,20,12,7,13,19,4.0
22019,1610612757,POR,Portland Trail Blazers,0021901309,2020-08-13,POR @ BKN,W,240,134,50,104,0.481,13,39,0.333,21,24,0.875,14,28,42,25,10,4,9,21,1.0
22019,1610612757,POR,Portland Trail Blazers,0021901300,2020-08-11,POR @ DAL,W,241,134,46,98,0.469,15,38,0.395,27,29,0.931,12,36,48,18,9,3,8,31,3.0
22019,1610612757,POR,Portland Trail Blazers,0021901289,2020-08-09,POR vs. PHI,W,240,124,43,91,0.473,11,35,0.314,27,29,0.931,7,34,41,19,8,6,10,16,3.0
22019,1610612757,POR,Portland Trail Blazers,0021901280,2020-08-08,POR vs. LAC,L,241,117,44,90,0.489,17,43,0.395,12,17,0.706,9,32,41,24,5,2,11,26,-5.0
22019,1610612757,POR,Portland Trail Blazers,0021901272,2020-08-06,POR @ DEN,W,241,125,43,92,0.467,23,39,0.59,16,20,0.8,13,26,39,30,7,6,9,18,10.0
22019,1610612757,POR,Portland Trail Blazers,0021901261,2020-08-04,POR vs. HOU,W,240,110,39,95,0.411,12,31,0.387,20,29,0.69,15,49,64,18,7,5,12,21,8.0
22019,1610612757,POR,Portland Trail Blazers,0021901245,2020-08-02,POR @ BOS,L,240,124,45,90,0.5,19,42,0.452,15,16,0.938,9,26,35,31,8,5,12,25,-4.0
22019,1610612757,POR,Portland Trail Blazers,0021901234,2020-07-31,POR vs. MEM,W,265,140,49,91,0.538,13,30,0.433,29,34,0.853,9,33,42,27,10,9,16,36,5.0
