SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22019,1610612758,SAC,Sacramento Kings,0021901310,2020-08-13,SAC @ LAL,W,241,136,54,95,0.568,21,47.0,0.447,7,12,0.583,9.0,35.0,44.0,37,12,2,14,15,14.0
22019,1610612758,SAC,Sacramento Kings,0021901302,2020-08-11,SAC vs. NOP,W,241,112,43,88,0.489,11,26.0,0.423,15,16,0.938,14.0,31.0,45.0,27,4,6,20,22,6.0
22019,1610612758,SAC,Sacramento Kings,0021901290,2020-08-09,SAC vs. HOU,L,242,112,41,87,0.471,10,37.0,0.27,20,23,0.87,5.0,36.0,41.0,29,9,2,17,22,-17.0
22019,1610612758,SAC,Sacramento Kings,0021901276,2020-08-07,SAC @ BKN,L,240,106,38,89,0.427,12,40.0,0.3,18,24,0.75,13.0,37.0,50.0,19,3,4,15,26,-13.0
22019,1610612758,SAC,Sacramento Kings,0021901268,2020-08-06,SAC vs. NOP,W,239,140,50,93,0.538,16,33.0,0.485,24,33,0.727,13.0,26.0,39.0,26,11,3,8,20,15.0
22019,1610612758,SAC,Sacramento Kings,0021901257,2020-08-04,SAC vs. DAL,L,265,110,43,104,0.413,16,43.0,0.372,8,12,0.667,8.0,39.0,47.0,26,8,3,10,37,-4.0
22019,1610612758,SAC,Sacramento Kings,0021901247,2020-08-02,SAC @ ORL,L,239,116,45,91,0.495,8,28.0,0.286,18,22,0.818,9.0,30.0,39.0,30,10,0,14,28,-16.0
22019,1610612758,SAC,Sacramento Kings,0021901237,2020-07-31,SAC @ SAS,L,241,120,46,95,0.484,12,38.0,0.316,16,20,0.8,8.0,34.0,42.0,22,11,2,15,25,-9.0
12019,1610612758,SAC,Sacramento Kings,0011900124,2020-07-27,SAC @ LAC,W,240,106,33,81,0.407,13,41.0,0.317,27,32,0.844,8.0,43.0,51.0,22,1,1,12,26,4.0
12019,1610612758,SAC,Sacramento Kings,0011900113,2020-07-25,SAC vs. MIL,L,240,123,42,103,0.408,16,48.0,0.333,23,26,0.885,7.0,35.0,42.0,23,11,6,10,26,-8.0
12019,1610612758,SAC,Sacramento Kings,0011900104,2020-07-22,SAC @ MIA,L,239,98,34,66,0.515,11,28.0,0.393,19,23,0.826,2.0,25.0,27.0,26,8,0,18,26,-6.0
22019,1610612758,SAC,Sacramento Kings,0021900956,2020-03-08,SAC vs. TOR,L,240,113,42,90,0.467,8,31.0,0.258,21,23,0.913,10.0,40.0,50.0,24,5,7,11,22,-5.0
22019,1610612758,SAC,Sacramento Kings,0021900945,2020-03-07,SAC @ POR,W,241,123,41,85,0.482,21,39.0,0.538,20,23,0.87,11.0,36.0,47.0,30,9,3,14,23,12.0
22019,1610612758,SAC,Sacramento Kings,0021900928,2020-03-05,SAC vs. PHI,L,240,108,42,79,0.532,11,29.0,0.379,13,18,0.722,4.0,33.0,37.0,23,7,4,17,21,-17.0
22019,1610612758,SAC,Sacramento Kings,0021900916,2020-03-03,SAC vs. WAS,W,240,133,50,89,0.562,13,29.0,0.448,20,24,0.833,8.0,34.0,42.0,23,13,2,15,24,7.0
22019,1610612758,SAC,Sacramento Kings,0021900899,2020-03-01,SAC vs. DET,W,240,106,37,91,0.407,9,35.0,0.257,23,26,0.885,17.0,34.0,51.0,18,8,7,10,20,6.0
22019,1610612758,SAC,Sacramento Kings,0021900881,2020-02-28,SAC @ MEM,W,239,104,38,91,0.418,11,38.0,0.289,17,21,0.81,8.0,39.0,47.0,24,11,3,9,16,3.0
22019,1610612758,SAC,Sacramento Kings,0021900875,2020-02-27,SAC @ OKC,L,239,108,41,91,0.451,12,35.0,0.343,14,14,1.0,12.0,33.0,45.0,30,6,2,15,33,-4.0
22019,1610612758,SAC,Sacramento Kings,0021900863,2020-02-25,SAC @ GSW,W,240,112,40,76,0.526,13,30.0,0.433,19,34,0.559,2.0,38.0,40.0,25,7,4,10,23,18.0
22019,1610612758,SAC,Sacramento Kings,0021900835,2020-02-22,SAC @ LAC,W,240,112,40,89,0.449,12,31.0,0.387,20,26,0.769,11.0,37.0,48.0,25,11,4,13,24,9.0
22019,1610612758,SAC,Sacramento Kings,0021900824,2020-02-20,SAC vs. MEM,W,241,129,42,83,0.506,19,39.0,0.487,26,36,0.722,3.0,24.0,27.0,22,9,2,10,21,4.0
22019,1610612758,SAC,Sacramento Kings,0021900814,2020-02-12,SAC @ DAL,L,241,111,41,99,0.414,12,39.0,0.308,17,22,0.773,10.0,30.0,40.0,26,7,2,5,16,-19.0
22019,1610612758,SAC,Sacramento Kings,0021900797,2020-02-10,SAC @ MIL,L,241,111,42,101,0.416,14,43.0,0.326,13,18,0.722,10.0,39.0,49.0,23,6,5,13,22,-12.0
22019,1610612758,SAC,Sacramento Kings,0021900785,2020-02-08,SAC vs. SAS,W,240,122,45,86,0.523,19,35.0,0.543,13,20,0.65,8.0,31.0,39.0,25,6,2,10,16,20.0
22019,1610612758,SAC,Sacramento Kings,0021900775,2020-02-07,SAC vs. MIA,W,241,105,40,82,0.488,19,44.0,0.432,6,12,0.5,6.0,30.0,36.0,29,8,3,14,24,8.0
22019,1610612758,SAC,Sacramento Kings,0021900749,2020-02-03,SAC vs. MIN,W,239,113,38,75,0.507,14,27.0,0.519,23,31,0.742,7.0,27.0,34.0,26,7,7,16,20,4.0
22019,1610612758,SAC,Sacramento Kings,0021900736,2020-02-01,SAC vs. LAL,L,241,113,39,91,0.429,14,44.0,0.318,21,26,0.808,13.0,31.0,44.0,21,5,4,16,24,-16.0
22019,1610612758,SAC,Sacramento Kings,0021900719,2020-01-30,SAC @ LAC,W,240,124,44,88,0.5,21,41.0,0.512,15,18,0.833,11.0,36.0,47.0,27,11,8,10,21,21.0
22019,1610612758,SAC,Sacramento Kings,0021900713,2020-01-29,SAC vs. OKC,L,239,100,42,91,0.462,9,39.0,0.231,7,11,0.636,11.0,28.0,39.0,22,6,2,13,22,-20.0
22019,1610612758,SAC,Sacramento Kings,0021900696,2020-01-27,SAC @ MIN,W,265,133,44,88,0.5,18,40.0,0.45,27,34,0.794,9.0,35.0,44.0,27,6,8,15,27,4.0
22019,1610612758,SAC,Sacramento Kings,0021900674,2020-01-24,SAC @ CHI,W,240,98,35,81,0.432,10,32.0,0.313,18,21,0.857,7.0,35.0,42.0,24,8,8,13,20,17.0
22019,1610612758,SAC,Sacramento Kings,0021900654,2020-01-22,SAC @ DET,L,241,106,42,98,0.429,10,35.0,0.286,12,23,0.522,12.0,33.0,45.0,23,10,1,10,28,-21.0
22019,1610612758,SAC,Sacramento Kings,0021900644,2020-01-20,SAC @ MIA,L,266,113,44,106,0.415,13,51.0,0.255,12,15,0.8,16.0,33.0,49.0,27,11,3,15,21,-5.0
22019,1610612758,SAC,Sacramento Kings,0021900636,2020-01-18,SAC @ UTA,L,240,101,42,86,0.488,10,26.0,0.385,7,12,0.583,7.0,30.0,37.0,20,3,3,10,23,-22.0
22019,1610612758,SAC,Sacramento Kings,0021900612,2020-01-15,SAC vs. DAL,L,241,123,50,96,0.521,12,33.0,0.364,11,20,0.55,11.0,31.0,42.0,28,5,0,8,22,-4.0
22019,1610612758,SAC,Sacramento Kings,0021900596,2020-01-13,SAC vs. ORL,L,239,112,45,87,0.517,12,31.0,0.387,10,11,0.909,4.0,40.0,44.0,25,6,4,12,21,-2.0
22019,1610612758,SAC,Sacramento Kings,0021900575,2020-01-10,SAC vs. MIL,L,241,106,44,96,0.458,10,35.0,0.286,8,10,0.8,6.0,39.0,45.0,26,8,3,16,24,-21.0
22019,1610612758,SAC,Sacramento Kings,0021900552,2020-01-07,SAC @ PHX,W,239,114,37,84,0.44,15,36.0,0.417,25,28,0.893,8.0,33.0,41.0,18,8,1,15,22,11.0
22019,1610612758,SAC,Sacramento Kings,0021900547,2020-01-06,SAC vs. GSW,W,239,111,39,81,0.481,15,30.0,0.5,18,23,0.783,6.0,37.0,43.0,27,10,3,22,23,13.0
22019,1610612758,SAC,Sacramento Kings,0021900533,2020-01-04,SAC vs. NOP,L,241,115,38,85,0.447,12,21.0,0.571,27,36,0.75,14.0,37.0,51.0,20,9,3,20,24,-2.0
