SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42019,1610612761,TOR,Toronto Raptors,0041900217,2020-09-11,TOR vs. BOS,L,240,87,31,75,0.413,8,28,0.286,17,19,0.895,7,37,44,17,1,6,18,23,-5.0
42019,1610612761,TOR,Toronto Raptors,0041900216,2020-09-09,TOR @ BOS,W,289,125,44,101,0.436,19,47,0.404,18,25,0.72,8,38,46,22,10,8,12,26,3.0
42019,1610612761,TOR,Toronto Raptors,0041900215,2020-09-07,TOR vs. BOS,L,241,89,33,85,0.388,12,40,0.3,11,13,0.846,10,26,36,19,8,5,13,24,-22.0
42019,1610612761,TOR,Toronto Raptors,0041900214,2020-09-05,TOR @ BOS,W,240,100,34,86,0.395,17,44,0.386,15,19,0.789,8,33,41,23,4,5,12,21,7.0
42019,1610612761,TOR,Toronto Raptors,0041900213,2020-09-03,TOR @ BOS,W,239,104,41,88,0.466,13,40,0.325,9,16,0.563,6,33,39,23,7,5,13,20,1.0
42019,1610612761,TOR,Toronto Raptors,0041900212,2020-09-01,TOR vs. BOS,L,240,99,36,90,0.4,11,40,0.275,16,19,0.842,7,34,41,25,10,7,12,19,-3.0
42019,1610612761,TOR,Toronto Raptors,0041900211,2020-08-30,TOR vs. BOS,L,241,94,31,84,0.369,10,40,0.25,22,29,0.759,7,33,40,22,10,2,14,24,-18.0
42019,1610612761,TOR,Toronto Raptors,0041900114,2020-08-23,TOR @ BKN,W,241,150,56,101,0.554,22,47,0.468,16,22,0.727,12,45,57,39,9,6,10,26,28.0
42019,1610612761,TOR,Toronto Raptors,0041900113,2020-08-21,TOR @ BKN,W,239,117,46,91,0.505,18,38,0.474,7,11,0.636,8,48,56,35,8,4,14,21,25.0
42019,1610612761,TOR,Toronto Raptors,0041900112,2020-08-19,TOR vs. BKN,W,238,104,38,87,0.437,9,35,0.257,19,28,0.679,8,36,44,22,7,6,8,21,5.0
42019,1610612761,TOR,Toronto Raptors,0041900111,2020-08-17,TOR vs. BKN,W,239,134,40,85,0.471,22,44,0.5,32,33,0.97,9,38,47,26,4,6,11,22,24.0
22019,1610612761,TOR,Toronto Raptors,0021901318,2020-08-14,TOR vs. DEN,W,241,117,45,90,0.5,18,35,0.514,9,14,0.643,13,38,51,27,8,5,19,24,8.0
